OID_,Log_ID_txt,ImagerTemperatureC
1,10792428,27.980004882812519
2,2331257,36.619989013671898
3,10862876,28.080010986328151
4,10862886,28.629998779296901
5,10862878,28.070001220703151
6,10360382,28.100000000000019
7,10360378,28.089990234375019
8,10524511,28.089990234375019
9,10360379,29.640008544921901
10,10862908,29.330010986328151
11,10862923,28.230004882812519
12,2331280a,30.020013427734401
13,10862924,29.300012207031269
14,10792417,30.129998779296901
15,10862901a,30.129998779296901
16,10862915,29.339990234375019
17,10862879,28.339990234375019
18,10862875a,28.059991455078151
19,10872720,29.409997558593769
20,10862894,29.339990234375019
