point_id,year,dist_origin,temp,restored,fire,temp_at_release,discharge,canopy_cov,air_temp_C,POINT_X,POINT_Y
1,2009,150,17.2000008,0,0,15.1,511,0.717,26.7,557324.7319,4889648.984
2,2009,152,17.2999992,0,0,15.1,511,0.717,26.7,557322.7891,4889648.514
3,2009,154,17.2000008,0,0,15.1,511,0.717,26.7,557320.9684,4889647.687
4,2009,156,17.2000008,0,0,15.1,511,0.717,26.7,557319.1477,4889646.859
5,2009,158,17.2000008,0,0,15.1,511,0.717,26.7,557317.3269,4889646.032
6,2009,160,17.2000008,0,0,15.1,511,0.717,26.7,557315.4067,4889645.615
7,2009,162,17.2000008,0,0,15.1,511,0.717,26.7,557313.4091,4889645.517
8,2009,164,17.1000004,0,0,15.1,511,0.717,26.7,557311.4114,4889645.42
9,2009,166,17.2000008,0,0,15.1,511,0.717,26.7,557309.4149,4889645.375
10,2009,168,17.2000008,0,0,15.1,511,0.717,26.7,557307.4228,4889645.553
11,2009,170,17.1000004,0,0,15.1,511,0.717,26.7,557305.4307,4889645.731
12,2009,172,17.1000004,0,0,15.1,511,0.717,26.7,557303.4357,4889645.871
13,2009,174,17.2000008,0,0,15.1,511,0.717,26.7,557301.4403,4889646.007
14,2009,176,17.2000008,0,0,15.1,511,0.717,26.7,557299.4573,4889646.242
15,2009,178,17.2000008,0,0,15.1,511,0.717,26.7,557297.4892,4889646.598
16,2009,220,17.2000008,0,0,15.1,511,0.717,26.7,557257.7267,4889658.836
17,2009,222,17.2000008,0,0,15.1,511,0.717,26.7,557255.9316,4889659.718
18,2009,224,17.2000008,0,0,15.1,511,0.717,26.7,557254.2279,4889660.759
19,2009,226,17.1000004,0,0,15.1,511,0.717,26.7,557252.558,4889661.86
20,2009,228,17.2000008,0,0,15.1,511,0.717,26.7,557250.9828,4889663.085
21,2009,274,17.2000008,0,0,15.1,511,0.717,26.7,557228.9789,4889699.775
22,2009,288,17.2000008,0,0,15.1,511,0.717,26.7,557222.8863,4889712.366
23,2009,310,17.1000004,0,0,15.1,511,0.717,26.7,557217.4595,4889733.678
24,2009,320,17.2999992,0,0,15.1,511,0.717,26.7,557216.347,4889743.614
