point_id,year,dist_m,C_2009,restored,fire,temp_at_release,discharge,canopy_cov,air_temp_C
1,2009,150,17.2000008,0,0,15.1,511,1,26.7
2,2009,152,17.2999992,0,0,15.1,511,1,26.7
3,2009,154,17.2000008,0,0,15.1,511,1,26.7
4,2009,156,17.2000008,0,0,15.1,511,1,26.7
5,2009,158,17.2000008,0,0,15.1,511,1,26.7
6,2009,160,17.2000008,0,0,15.1,511,1,26.7
7,2009,162,17.2000008,0,0,15.1,511,1,26.7
8,2009,164,17.1000004,0,0,15.1,511,1,26.7
9,2009,166,17.2000008,0,0,15.1,511,1,26.7
10,2009,168,17.2000008,0,0,15.1,511,1,26.7
11,2009,170,17.1000004,0,0,15.1,511,1,26.7
12,2009,172,17.1000004,0,0,15.1,511,1,26.7
13,2009,174,17.2000008,0,0,15.1,511,1,26.7
14,2009,176,17.2000008,0,0,15.1,511,1,26.7
15,2009,178,17.2000008,0,0,15.1,511,1,26.7
16,2009,220,17.2000008,0,0,15.1,511,1,26.7
17,2009,222,17.2000008,0,0,15.1,511,1,26.7
18,2009,224,17.2000008,0,0,15.1,511,1,26.7
19,2009,226,17.1000004,0,0,15.1,511,1,26.7
20,2009,228,17.2000008,0,0,15.1,511,1,26.7
21,2009,274,17.2000008,0,0,15.1,511,1,26.7
22,2009,288,17.2000008,0,0,15.1,511,1,26.7
23,2009,310,17.1000004,0,0,15.1,511,1,26.7
24,2009,320,17.2999992,0,0,15.1,511,1,26.7
25,2009,322,17.2000008,0,0,15.1,511,1,26.7
26,2009,334,17.2999992,0,0,15.1,511,1,26.7
27,2009,344,17.7000008,0,0,15.1,511,1,26.7
28,2009,346,17.8999996,0,0,15.1,511,1,26.7
29,2009,348,17.8999996,0,0,15.1,511,1,26.7
30,2009,350,18.1000004,0,0,15.1,511,1,26.7
31,2009,2,17.2000008,0,0,15.1,511,1,26.7
32,2009,4,17.1000004,0,0,15.1,511,1,26.7
33,2009,6,17.2000008,0,0,15.1,511,1,26.7
34,2009,8,17.2000008,0,0,15.1,511,1,26.7
35,2009,10,17.1000004,0,0,15.1,511,1,26.7
36,2009,12,17.2000008,0,0,15.1,511,1,26.7
37,2009,14,17.2000008,0,0,15.1,511,1,26.7
38,2009,20,17.2000008,0,0,15.1,511,1,26.7
39,2009,22,17.2000008,0,0,15.1,511,1,26.7
40,2009,24,17.1000004,0,0,15.1,511,1,26.7
41,2009,26,17.1000004,0,0,15.1,511,1,26.7
42,2009,28,17.1000004,0,0,15.1,511,1,26.7
43,2009,30,17.1000004,0,0,15.1,511,1,26.7
44,2009,32,17,0,0,15.1,511,1,26.7
45,2009,34,17.1000004,0,0,15.1,511,1,26.7
46,2009,36,17.2000008,0,0,15.1,511,1,26.7
47,2009,38,17,0,0,15.1,511,1,26.7
48,2009,40,17.2000008,0,0,15.1,511,1,26.7
49,2009,42,17.1000004,0,0,15.1,511,1,26.7
50,2009,44,17,0,0,15.1,511,1,26.7
51,2009,46,17.1000004,0,0,15.1,511,1,26.7
52,2009,58,17.1000004,0,0,15.1,511,1,26.7
53,2009,60,17.1000004,0,0,15.1,511,1,26.7
54,2009,70,17,0,0,15.1,511,1,26.7
55,2009,76,17,0,0,15.1,511,1,26.7
56,2009,78,17,0,0,15.1,511,1,26.7
57,2009,80,17.1000004,0,0,15.1,511,1,26.7
58,2009,82,17.1000004,0,0,15.1,511,1,26.7
59,2009,84,17.1000004,0,0,15.1,511,1,26.7
60,2009,88,17.2000008,0,0,15.1,511,1,26.7
61,2009,90,17.2000008,0,0,15.1,511,1,26.7
62,2009,92,17.1000004,0,0,15.1,511,1,26.7
63,2009,94,17.2000008,0,0,15.1,511,1,26.7
64,2009,96,17.1000004,0,0,15.1,511,1,26.7
65,2009,98,17.2000008,0,0,15.1,511,1,26.7
66,2009,106,17.1000004,0,0,15.1,511,1,26.7
67,2009,108,17.1000004,0,0,15.1,511,1,26.7
68,2009,110,17.2000008,0,0,15.1,511,1,26.7
69,2009,112,17.2000008,0,0,15.1,511,1,26.7
70,2009,114,17.2999992,0,0,15.1,511,1,26.7
71,2009,116,17.2000008,0,0,15.1,511,1,26.7
72,2009,118,17.3999996,0,0,15.1,511,1,26.7
73,2009,120,17.3999996,0,0,15.1,511,1,26.7
74,2009,122,17.2999992,0,0,15.1,511,1,26.7
75,2009,126,17.2000008,0,0,15.1,511,1,26.7
76,2009,128,17.3999996,0,0,15.1,511,1,26.7
77,2009,130,17.2999992,0,0,15.1,511,1,26.7
78,2009,134,17.2000008,0,0,15.1,511,1,26.7
79,2009,136,17.2000008,0,0,15.1,511,1,26.7
80,2009,138,17.2000008,0,0,15.1,511,1,26.7
81,2009,140,17.2000008,0,0,15.1,511,1,26.7
82,2009,142,17.1000004,0,0,15.1,511,1,26.7
83,2009,144,17.2000008,0,0,15.1,511,1,26.7
84,2009,146,17.1000004,0,0,15.1,511,1,26.7
85,2009,148,17.2000008,0,0,15.1,511,1,26.7
86,2009,1018,17.5,0,0,15.1,511,1,26.7
87,2009,1028,17.6000004,0,0,15.1,511,1,26.7
88,2009,1074,17.7000008,0,0,15.1,511,1,26.7
89,2009,1076,17.6000004,0,0,15.1,511,1,26.7
90,2009,1078,17.6000004,0,0,15.1,511,1,26.7
91,2009,1080,17.6000004,0,0,15.1,511,1,26.7
92,2009,1082,17.5,0,0,15.1,511,1,26.7
93,2009,1084,17.5,0,0,15.1,511,1,26.7
94,2009,1086,17.6000004,0,0,15.1,511,1,26.7
95,2009,1088,17.5,0,0,15.1,511,1,26.7
96,2009,1090,17.5,0,0,15.1,511,1,26.7
97,2009,1092,17.3999996,0,0,15.1,511,1,26.7
98,2009,1094,17.5,0,0,15.1,511,1,26.7
99,2009,1096,17.5,0,0,15.1,511,1,26.7
100,2009,428,17,0,0,15.1,511,1,26.7
101,2009,438,17.3999996,0,0,15.1,511,1,26.7
102,2009,440,17.5,0,0,15.1,511,1,26.7
103,2009,442,17.3999996,0,0,15.1,511,1,26.7
104,2009,352,18.7000008,0,0,15.1,511,1,26.7
105,2009,354,18.2000008,0,0,15.1,511,1,26.7
106,2009,356,17.6000004,0,0,15.1,511,1,26.7
107,2009,358,17.5,0,0,15.1,511,1,26.7
108,2009,360,17.6000004,0,0,15.1,511,1,26.7
109,2009,844,17.6000004,0,0,15.1,511,1,26.7
110,2009,846,17.3999996,0,0,15.1,511,1,26.7
111,2009,848,17.5,0,0,15.1,511,1,26.7
112,2009,850,17.3999996,0,0,15.1,511,1,26.7
113,2009,852,17.5,0,0,15.1,511,1,26.7
114,2009,854,17.6000004,0,0,15.1,511,1,26.7
115,2009,856,17.5,0,0,15.1,511,1,26.7
116,2009,858,17.6000004,0,0,15.1,511,1,26.7
117,2009,860,17.6000004,0,0,15.1,511,1,26.7
118,2009,862,17.3999996,0,0,15.1,511,1,26.7
119,2009,864,17.5,0,0,15.1,511,1,26.7
120,2009,866,17.6000004,0,0,15.1,511,1,26.7
121,2009,868,17.5,0,0,15.1,511,1,26.7
122,2009,870,17.3999996,0,0,15.1,511,1,26.7
123,2009,872,17.5,0,0,15.1,511,1,26.7
124,2009,874,17.6000004,0,0,15.1,511,1,26.7
125,2009,876,17.7000008,0,0,15.1,511,1,26.7
126,2009,878,17.6000004,0,0,15.1,511,1,26.7
127,2009,880,17.7000008,0,0,15.1,511,1,26.7
128,2009,886,17.6000004,0,0,15.1,511,1,26.7
129,2009,888,17.5,0,0,15.1,511,1,26.7
130,2009,890,17.6000004,0,0,15.1,511,1,26.7
131,2009,892,17.6000004,0,0,15.1,511,1,26.7
132,2009,894,17.5,0,0,15.1,511,1,26.7
133,2009,896,17.7000008,0,0,15.1,511,1,26.7
134,2009,898,17.6000004,0,0,15.1,511,1,26.7
135,2009,908,17.6000004,0,0,15.1,511,1,26.7
136,2009,910,17.7000008,0,0,15.1,511,1,26.7
137,2009,918,17.7999992,0,0,15.1,511,1,26.7
138,2009,930,17.7000008,0,0,15.1,511,1,26.7
139,2009,932,17.7000008,0,0,15.1,511,1,26.7
140,2009,934,17.6000004,0,0,15.1,511,1,26.7
141,2009,936,17.6000004,0,0,15.1,511,1,26.7
142,2009,938,17.7000008,0,0,15.1,511,1,26.7
143,2009,940,17.7000008,0,0,15.1,511,1,26.7
144,2009,942,17.6000004,0,0,15.1,511,1,26.7
145,2009,944,17.7000008,0,0,15.1,511,1,26.7
146,2009,776,17.3999996,0,0,15.1,511,1,26.7
147,2009,778,17.3999996,0,0,15.1,511,1,26.7
148,2009,780,17.5,0,0,15.1,511,1,26.7
149,2009,782,17.3999996,0,0,15.1,511,1,26.7
150,2009,784,17.3999996,0,0,15.1,511,1,26.7
151,2009,786,17.2999992,0,0,15.1,511,1,26.7
152,2009,798,17.3999996,0,0,15.1,511,1,26.7
153,2009,800,17.2999992,0,0,15.1,511,1,26.7
154,2009,802,17.5,0,0,15.1,511,1,26.7
155,2009,804,17.3999996,0,0,15.1,511,1,26.7
156,2009,806,17.3999996,0,0,15.1,511,1,26.7
157,2009,808,17.2999992,0,0,15.1,511,1,26.7
158,2009,810,17.3999996,0,0,15.1,511,1,26.7
159,2009,812,17.3999996,0,0,15.1,511,1,26.7
160,2009,814,17.5,0,0,15.1,511,1,26.7
161,2009,816,17.3999996,0,0,15.1,511,1,26.7
162,2009,818,17.3999996,0,0,15.1,511,1,26.7
163,2009,638,17.3999996,0,0,15.1,511,1,26.7
164,2009,640,17.2999992,0,0,15.1,511,1,26.7
165,2009,642,17.5,0,0,15.1,511,1,26.7
166,2009,644,17.5,0,0,15.1,511,1,26.7
167,2009,646,17.5,0,0,15.1,511,1,26.7
168,2009,650,17.3999996,0,0,15.1,511,1,26.7
169,2009,654,17.3999996,0,0,15.1,511,1,26.7
170,2009,656,17.3999996,0,0,15.1,511,1,26.7
171,2009,658,17.3999996,0,0,15.1,511,1,26.7
172,2009,660,17.3999996,0,0,15.1,511,1,26.7
173,2009,662,17.3999996,0,0,15.1,511,1,26.7
174,2009,664,17.5,0,0,15.1,511,1,26.7
175,2009,672,17.2999992,0,0,15.1,511,1,26.7
176,2009,674,17.3999996,0,0,15.1,511,1,26.7
177,2009,676,17.5,0,0,15.1,511,1,26.7
178,2009,678,17.3999996,0,0,15.1,511,1,26.7
179,2009,680,17.3999996,0,0,15.1,511,1,26.7
1,2019,150,17.8978806,1,0,14.15,826,0.325,28.9
2,2019,152,17.9071026,1,0,14.15,826,0.325,28.9
3,2019,154,18.1837845,1,0,14.15,826,0.325,28.9
4,2019,156,17.9163265,1,0,14.15,826,0.325,28.9
5,2019,158,17.8609886,1,0,14.15,826,0.325,28.9
6,2019,160,17.8978806,1,0,14.15,826,0.325,28.9
7,2019,162,18.0269985,1,0,14.15,826,0.325,28.9
8,2019,164,17.8609886,1,0,14.15,826,0.325,28.9
9,2019,166,18.0177746,1,0,14.15,826,0.325,28.9
10,2019,168,17.8333206,1,0,14.15,826,0.325,28.9
11,2019,170,17.8056526,1,0,14.15,826,0.325,28.9
12,2019,172,17.9993305,1,0,14.15,826,0.325,28.9
13,2019,174,18.0546665,1,0,14.15,826,0.325,28.9
14,2019,176,18.1837845,1,0,14.15,826,0.325,28.9
15,2019,178,18.8570461,1,0,14.15,826,0.325,28.9
16,2019,220,19.152174,1,0,14.15,826,0.325,28.9
