OID_,ORIG_FID,dist_m,C_2009,C_2019,C_2021,POINT_X,POINT_Y
1,1,150,17.2000008,17.8978806,19.0876141,557324.731900000013411,4889648.983999999240041
2,1,152,17.2999992,17.9071026,19.1152821,557322.789099999703467,4889648.514399999752641
3,1,154,17.2000008,18.1837845,19.0046101,557320.968399999663234,4889647.686799999326468
4,1,156,17.2000008,17.9163265,19.0783920,557319.147699999623001,4889646.859200000762939
5,1,158,17.2000008,17.8609886,19.2259560,557317.326899999752641,4889646.031600000336766
6,1,160,17.2000008,17.8978806,19.2905159,557315.406700000166893,4889645.614700000733137
7,1,162,17.2000008,18.0269985,19.4011879,557313.409099999815226,4889645.517200000584126
8,1,164,17.1000004,17.8609886,19.3827438,557311.411399999633431,4889645.419800000265241
9,1,166,17.2000008,18.0177746,19.4196339,557309.414900000207126,4889645.375299999490380
10,1,168,17.2000008,17.8333206,19.4473019,557307.422799999825656,4889645.553200000897050
11,1,170,17.1000004,17.8056526,19.4288559,557305.430700000375509,4889645.731100000441074
12,1,172,17.1000004,17.9993305,19.3274059,557303.435700000263751,4889645.871300000697374
13,1,174,17.2000008,18.0546665,19.4380798,557301.440299999900162,4889646.006500000134110
14,1,176,17.2000008,18.1837845,19.6870937,557299.457299999892712,4889646.242499999701977
15,1,178,17.2000008,18.8570461,20.0744495,557297.489199999719858,4889646.598099999129772
16,1,220,17.2000008,19.1521740,20.0928936,557257.726700000464916,4889658.835899999365211
17,1,222,17.2000008,18.3682404,19.4011879,557255.931599999777973,4889659.717599999159575
18,1,224,17.2000008,18.4143543,19.2444000,557254.227900000289083,4889660.759299999102950
19,1,226,17.1000004,18.3129044,19.5948658,557252.558000000193715,4889661.859899999573827
20,1,228,17.2000008,18.4420223,20.1113396,557250.982800000347197,4889663.084699999541044
21,1,274,17.2000008,18.7371502,19.5856438,557228.978900000452995,4889699.775299999862909
22,1,288,17.2000008,18.9953880,19.6686478,557222.886300000362098,4889712.366499999538064
23,1,310,17.1000004,19.8899937,20.2035675,557217.459499999880791,4889733.677799999713898
24,1,320,17.2999992,19.1982880,19.8346577,557216.347000000067055,4889743.613600000739098
25,1,322,17.2000008,19.2720699,19.9084396,557216.902300000190735,4889745.491200000047684
26,1,334,17.2999992,18.7463741,19.6502018,557221.542500000447035,4889756.553799999877810
27,1,344,17.7000008,19.5303078,20.5079174,557226.793499999679625,4889765.064200000837445
28,1,346,17.8999996,18.4328003,19.1337280,557227.843700000084937,4889766.766300000250340
29,1,348,17.8999996,18.3682404,19.5948658,557228.902800000272691,4889768.462300000712276
30,1,350,18.1000004,18.2667904,19.9361057,557230.094499999657273,4889770.068600000813603
31,1,2,17.2000008,19.4749699,21.0981731,557435.950400000438094,4889730.821299999952316
32,1,4,17.1000004,18.9584961,21.5869789,557434.874499999918044,4889729.135299999266863
33,1,6,17.2000008,18.5250282,21.5869789,557433.798700000159442,4889727.449300000444055
34,1,8,17.2000008,18.6357002,21.0981731,557432.722900000400841,4889725.763299999758601
35,1,10,17.1000004,18.8847141,20.5540314,557431.647099999710917,4889724.077299999073148
36,1,12,17.2000008,19.1982880,20.2496796,557430.571200000122190,4889722.391300000250340
37,1,14,17.2000008,19.1798420,19.9637756,557429.495400000363588,4889720.705299999564886
38,1,20,17.2000008,19.2628460,19.1613979,557426.267900000326335,4889715.647299999371171
39,1,22,17.2000008,19.1706181,18.8201561,557425.192099999636412,4889713.961300000548363
40,1,24,17.1000004,18.7832642,19.0876141,557424.116299999877810,4889712.275299999862909
41,1,26,17.1000004,18.7648201,19.1337280,557423.049599999561906,4889710.583499999716878
42,1,28,17.1000004,18.7648201,19.3827438,557421.991600000299513,4889708.886299999430776
43,1,30,17.1000004,18.4512463,19.1245060,557420.933600000105798,4889707.188999999314547
44,1,32,17.0000000,18.2944584,19.1245060,557419.875599999912083,4889705.491800000891089
45,1,34,17.1000004,18.2022305,19.1152821,557418.817599999718368,4889703.794600000604987
46,1,36,17.2000008,18.1284485,19.1060600,557417.759600000455976,4889702.097300000488758
47,1,38,17.0000000,18.0731125,19.1429520,557416.701500000432134,4889700.400100000202656
48,1,40,17.2000008,18.1007805,19.1706181,557415.643500000238419,4889698.702899999916553
49,1,42,17.1000004,18.1468945,19.3181820,557414.585500000044703,4889697.005599999800324
50,1,44,17.0000000,18.2483444,19.4011879,557413.353099999949336,4889695.452800000086427
51,1,46,17.1000004,18.4420223,19.0599461,557411.883500000461936,4889694.096200000494719
52,1,58,17.1000004,18.2114544,19.2167339,557403.290199999697506,4889685.797800000756979
53,1,60,17.1000004,18.0638905,19.0691700,557402.497000000439584,4889683.961799999698997
54,1,70,17.0000000,18.4051304,19.1060600,557398.264200000092387,4889674.992300000041723
55,1,76,17.0000000,17.9716625,19.2167339,557393.464200000278652,4889671.392300000414252
56,1,78,17.0000000,17.8978806,18.8109322,557391.864199999719858,4889670.192299999296665
