OID_,Log_ID_txt,FileName,SceneTemperature,ImagerTemperatureC,GPSLatitude,GPSLongitude,GPSAltitude,keep
63,10792428,IMG_0086_6.tif,36.690000000000097,39.860009765625001,44.159618199999997,-122.292604499999996,492.880999999999972,n
88,2331257,IMG_0111_6.tif,36.930000000000000,39.659997558593801,44.156536199999998,-122.291759700000000,494.168999999999983,maybe
103,10862875a,IMG_0126_6.tif,33.270000000000003,39.309991455078098,44.159782999999997,-122.291755199999997,492.858999999999980,n
114,10862886,IMG_0137_6.tif,33.350000000000001,39.050012207031301,44.160348700000000,-122.290926400000004,493.449999999999989,y
116,10862876,IMG_0139_6.tif,35.710000000000001,38.999993896484398,44.159946499999997,-122.290926999999996,493.559000000000026,n
1,,IMG_0024_6.tif,37.570000000000100,45.510003662109398,44.159961600000003,-122.294672700000007,488.024999999999977,
2,,IMG_0025_6.tif,38.310000000000002,45.330010986328098,44.159992500000001,-122.294624299999995,489.648000000000025,
3,,IMG_0026_6.tif,38.190000000000097,45.110009765625001,44.160064599999998,-122.294515500000003,490.379000000000019,
4,,IMG_0027_6.tif,41.049999999999997,44.969995117187501,44.160063899999997,-122.294520300000002,490.685000000000002,
5,,IMG_0028_6.tif,30.230000000000000,44.749993896484398,44.159887699999999,-122.294471599999994,491.372999999999990,
6,,IMG_0029_6.tif,30.390000000000001,44.629998779296898,44.159747799999998,-122.294434100000004,491.648000000000025,
7,,IMG_0030_6.tif,30.309999999999999,44.439996337890598,44.159495800000002,-122.294362199999995,492.084000000000003,
8,,IMG_0031_6.tif,37.390000000000001,44.279992675781301,44.159283899999998,-122.294300000000007,492.649000000000001,
9,,IMG_0032_6.tif,37.170000000000002,44.100000000000001,44.159192599999997,-122.294278300000002,492.759000000000015,
10,,IMG_0033_6.tif,30.870000000000001,43.959985351562501,44.159184000000003,-122.294277300000005,492.687999999999988,
11,,IMG_0034_6.tif,36.930000000000000,43.830010986328098,44.159020599999998,-122.294272899999996,493.355999999999995,
12,,IMG_0035_6.tif,36.770000000000003,43.719995117187501,44.158833100000003,-122.294278100000000,493.254999999999995,
13,,IMG_0036_6.tif,37.930000000000000,43.600000000000001,44.158617300000003,-122.294275799999994,493.387999999999977,
14,,IMG_0037_6.tif,37.350000000000001,43.469995117187501,44.158372900000003,-122.294272899999996,493.504999999999995,
15,,IMG_0038_6.tif,37.190000000000097,43.360009765625001,44.158084400000000,-122.294270900000001,493.435999999999979,
16,,IMG_0039_6.tif,38.030000000000001,43.339990234375001,44.157968699999998,-122.294270900000001,493.413000000000011,
17,,IMG_0040_6.tif,37.829999999999998,43.189996337890598,44.157752799999997,-122.294271499999994,493.338999999999999,
18,,IMG_0041_6.tif,37.350000000000001,43.080010986328098,44.157536899999997,-122.294272800000002,493.041999999999973,
19,,IMG_0042_6.tif,35.869999999999997,42.969995117187501,44.157306200000001,-122.294275099999993,492.593000000000018,
20,,IMG_0043_6.tif,37.149999999999999,42.830010986328098,44.157047499999997,-122.294274799999997,492.661999999999978,
21,,IMG_0044_6.tif,37.909999999999997,42.740014648437501,44.156889200000002,-122.294276499999995,492.685000000000002,
22,,IMG_0045_6.tif,38.270000000000003,42.600000000000001,44.156601799999997,-122.294276400000001,492.781000000000006,
23,,IMG_0046_6.tif,38.469999999999999,42.520013427734398,44.156472200000003,-122.294276699999998,492.668000000000006,
24,,IMG_0047_6.tif,38.210000000000001,42.399987792968801,44.156241299999998,-122.294273300000000,492.531000000000006,
25,,IMG_0048_6.tif,39.070000000000100,42.300012207031301,44.156032199999999,-122.294272100000001,492.778999999999996,
26,,IMG_0049_6.tif,38.450000000000003,42.189996337890598,44.156025600000000,-122.294271400000000,492.524999999999977,
27,,IMG_0050_6.tif,38.469999999999999,42.110009765625001,44.156023699999999,-122.294246000000001,492.543999999999983,
28,,IMG_0051_6.tif,39.070000000000100,42.020013427734398,44.156022100000001,-122.293895800000001,492.862000000000023,
29,,IMG_0052_6.tif,38.710000000000001,41.950006103515598,44.156022000000000,-122.293676700000006,493.117000000000019,
30,,IMG_0053_6.tif,38.950000000000003,41.839990234375001,44.156022399999998,-122.293437100000006,493.439999999999998,
31,,IMG_0054_6.tif,38.969999999999999,41.749993896484398,44.156025800000002,-122.293443499999995,493.223999999999990,
32,,IMG_0055_6.tif,38.630000000000102,41.670007324218801,44.156169800000001,-122.293437699999998,493.216999999999985,
33,,IMG_0056_6.tif,35.590000000000003,41.600000000000001,44.156358900000001,-122.293436099999994,493.360000000000014,
34,,IMG_0057_6.tif,34.090000000000003,41.490014648437501,44.156633800000002,-122.293433300000004,493.574999999999989,
35,,IMG_0058_6.tif,36.329999999999998,41.429986572265598,44.156792500000002,-122.293431100000006,493.649000000000001,
36,,IMG_0059_6.tif,37.170000000000002,41.339990234375001,44.157109100000000,-122.293431299999995,493.685999999999979,
37,,IMG_0060_6.tif,36.390000000000001,41.379998779296898,44.157239799999999,-122.293431999999996,493.584999999999980,
38,,IMG_0061_6.tif,35.570000000000100,41.279992675781301,44.157454899999998,-122.293426800000006,493.629000000000019,
39,,IMG_0062_6.tif,34.450000000000003,41.200006103515598,44.157730999999998,-122.293428199999994,493.697000000000003,
40,,IMG_0063_6.tif,35.710000000000001,41.149987792968801,44.157888999999997,-122.293428399999996,493.821000000000026,
41,,IMG_0064_6.tif,37.750000000000099,41.080010986328098,44.158104000000002,-122.293430599999994,493.079999999999984,
42,,IMG_0065_6.tif,37.950000000000003,41.010003662109398,44.158290899999997,-122.293431400000003,493.257000000000005,
43,,IMG_0066_6.tif,37.549999999999997,40.939996337890598,44.158534600000003,-122.293428800000001,492.994000000000028,
44,,IMG_0067_6.tif,34.829999999999998,40.860009765625001,44.158752100000001,-122.293427699999995,493.410000000000025,
45,,IMG_0068_6.tif,37.509999999999998,40.790002441406301,44.159013100000003,-122.293427399999999,493.636000000000024,
46,,IMG_0069_6.tif,35.469999999999999,40.740014648437501,44.159186699999999,-122.293430200000003,493.483999999999980,
47,,IMG_0070_6.tif,29.510000000000002,40.679986572265598,44.159418700000003,-122.293434399999995,493.428999999999974,
48,,IMG_0071_6.tif,31.649999999999999,40.589990234375001,44.159678499999998,-122.293433699999994,493.286000000000001,
49,,IMG_0072_6.tif,41.270000000000003,40.570001220703098,44.159808900000002,-122.293436200000002,492.963000000000022,
50,,IMG_0073_6.tif,43.609999999999999,40.480004882812501,44.160097800000003,-122.293433199999996,492.822000000000003,
51,,IMG_0074_6.tif,36.409999999999997,40.439996337890598,44.160255599999999,-122.293432600000003,492.802000000000021,
52,,IMG_0075_6.tif,43.509999999999998,40.379998779296898,44.160520200000001,-122.293429200000006,493.115000000000009,
53,,IMG_0076_6.tif,38.450000000000003,40.330010986328098,44.160550399999998,-122.293429300000000,492.574999999999989,
54,,IMG_0077_6.tif,38.350000000000001,40.290002441406301,44.160548100000000,-122.293426800000006,492.459999999999980,
55,,IMG_0078_6.tif,38.049999999999997,40.230004882812501,44.160550200000003,-122.293154700000002,492.939000000000021,
56,,IMG_0079_6.tif,37.770000000000003,40.159997558593801,44.160553200000003,-122.292895700000003,493.499000000000024,
57,,IMG_0080_6.tif,36.570000000000100,40.119989013671898,44.160554400000002,-122.292648700000001,493.757000000000005,
58,,IMG_0081_6.tif,30.609999999999999,40.059991455078098,44.160553600000000,-122.292607599999997,493.384000000000015,
59,,IMG_0082_6.tif,38.590000000000003,40.010003662109398,44.160444300000002,-122.292604499999996,493.100000000000023,
60,,IMG_0083_6.tif,29.390000000000001,39.969995117187501,44.160251199999998,-122.292602900000006,493.098999999999990,
61,,IMG_0084_6.tif,31.390000000000001,39.929986572265598,44.160036099999999,-122.292600300000004,493.221000000000004,
62,,IMG_0085_6.tif,31.870000000000001,39.890008544921898,44.159761799999998,-122.292607099999998,492.990000000000009,
64,,IMG_0087_6.tif,37.170000000000002,39.830010986328098,44.159341800000000,-122.292602000000002,492.896000000000015,
65,,IMG_0088_6.tif,37.109999999999999,39.809991455078098,44.159154100000002,-122.292601700000006,492.923000000000002,
66,,IMG_0089_6.tif,36.909999999999997,39.800012207031301,44.158951999999999,-122.292602799999997,493.033000000000015,
67,,IMG_0090_6.tif,38.210000000000001,39.800012207031301,44.158751899999999,-122.292603999999997,492.978999999999985,
68,,IMG_0091_6.tif,37.690000000000097,39.779992675781301,44.158522200000000,-122.292604499999996,493.059000000000026,
69,,IMG_0092_6.tif,38.190000000000097,39.770013427734398,44.158304899999997,-122.292605100000003,493.127000000000010,
70,,IMG_0093_6.tif,37.909999999999997,39.760003662109398,44.158073700000003,-122.292606100000000,493.120999999999981,
71,,IMG_0094_6.tif,38.009999999999998,39.779992675781301,44.157886300000001,-122.292604999999995,493.139000000000010,
72,,IMG_0095_6.tif,38.070000000000100,39.779992675781301,44.157656400000000,-122.292603700000001,493.252000000000010,
73,,IMG_0096_6.tif,38.329999999999998,39.770013427734398,44.157498400000001,-122.292602700000003,493.314999999999998,
74,,IMG_0097_6.tif,37.770000000000003,39.760003662109398,44.157181100000003,-122.292598600000005,493.413999999999987,
75,,IMG_0098_6.tif,37.210000000000001,39.779992675781301,44.157021999999998,-122.292597299999997,493.562999999999988,
76,,IMG_0099_6.tif,37.170000000000002,39.770013427734398,44.156792199999998,-122.292599100000004,493.401000000000010,
77,,IMG_0100_6.tif,33.829999999999998,39.770013427734398,44.156604999999999,-122.292600699999994,492.961999999999989,
78,,IMG_0101_6.tif,35.409999999999997,39.760003662109398,44.156347599999997,-122.292597200000003,493.228000000000009,
79,,IMG_0102_6.tif,38.009999999999998,39.770013427734398,44.156160800000002,-122.292597999999998,493.401999999999987,
80,,IMG_0103_6.tif,37.810000000000002,39.770013427734398,44.156029900000000,-122.292599100000004,493.233999999999980,
81,,IMG_0104_6.tif,38.390000000000001,39.770013427734398,44.156033000000001,-122.292586799999995,493.189000000000021,
82,,IMG_0105_6.tif,36.649999999999999,39.770013427734398,44.156030000000001,-122.292343700000004,493.403999999999996,
83,,IMG_0106_6.tif,36.390000000000001,39.770013427734398,44.156031100000000,-122.292083800000000,493.619000000000028,
84,,IMG_0107_6.tif,38.649999999999999,39.749993896484398,44.156030399999999,-122.291768200000007,494.017999999999972,
85,,IMG_0108_6.tif,36.770000000000003,39.740014648437501,44.156034699999999,-122.291766499999994,493.848999999999990,
86,,IMG_0109_6.tif,36.750000000000099,39.709985351562501,44.156110800000000,-122.291760600000003,493.812999999999988,
87,,IMG_0110_6.tif,34.130000000000102,39.670007324218801,44.156293599999998,-122.291760999999994,494.108000000000004,
89,,IMG_0112_6.tif,37.490000000000002,39.610009765625001,44.156737600000000,-122.291758400000006,494.230000000000018,
90,,IMG_0113_6.tif,37.649999999999999,39.580010986328098,44.156955300000000,-122.291759400000004,494.343999999999994,
91,,IMG_0114_6.tif,38.450000000000003,39.529992675781301,44.157186600000003,-122.291757599999997,494.365000000000009,
92,,IMG_0115_6.tif,38.509999999999998,39.490014648437501,44.157330799999997,-122.291757200000006,494.153000000000020,
93,,IMG_0116_6.tif,37.630000000000102,39.469995117187501,44.157604399999997,-122.291757799999999,493.971999999999980,
94,,IMG_0117_6.tif,37.829999999999998,39.420007324218801,44.157849499999998,-122.291756699999993,493.968999999999994,
95,,IMG_0118_6.tif,37.770000000000003,39.390008544921898,44.158079899999997,-122.291755800000004,493.886000000000024,
96,,IMG_0119_6.tif,37.690000000000097,39.339990234375001,44.158238500000003,-122.291756699999993,493.915000000000020,
97,,IMG_0120_6.tif,37.270000000000003,39.309991455078098,44.158571000000002,-122.291754400000002,493.745000000000005,
98,,IMG_0121_6.tif,38.350000000000001,39.390008544921898,44.158716599999998,-122.291755300000005,493.723000000000013,
99,,IMG_0122_6.tif,38.549999999999997,39.360009765625001,44.158916699999999,-122.291755400000000,493.435000000000002,
100,,IMG_0123_6.tif,35.930000000000000,39.339990234375001,44.159134600000002,-122.291758200000004,493.334999999999980,
101,,IMG_0124_6.tif,36.310000000000002,39.350000000000001,44.159350099999997,-122.291752900000006,493.031999999999982,
102,,IMG_0125_6.tif,32.030000000000001,39.330010986328098,44.159566699999999,-122.291753299999996,493.110999999999990,
104,,IMG_0127_6.tif,36.090000000000003,39.290002441406301,44.159985200000001,-122.291755100000003,493.060999999999979,
105,,IMG_0128_6.tif,30.350000000000001,39.279992675781301,44.160201600000001,-122.291755899999998,493.175999999999988,
106,,IMG_0129_6.tif,29.170000000000002,39.249993896484398,44.160445899999999,-122.291754100000006,493.382000000000005,
107,,IMG_0130_6.tif,39.090000000000003,39.219995117187501,44.160560799999999,-122.291758000000002,492.951999999999998,
108,,IMG_0131_6.tif,36.369999999999997,39.189996337890598,44.160554800000000,-122.291760900000000,492.653000000000020,
109,,IMG_0132_6.tif,30.770000000000000,39.170007324218801,44.160557300000001,-122.291615199999995,493.076999999999998,
110,,IMG_0133_6.tif,36.810000000000002,39.149987792968801,44.160561399999999,-122.291345300000003,493.300999999999988,
111,,IMG_0134_6.tif,36.990000000000002,39.129998779296898,44.160560599999997,-122.291066599999994,493.370999999999981,
112,,IMG_0135_6.tif,37.329999999999998,39.100000000000001,44.160560099999998,-122.290926400000004,493.206000000000017,
113,,IMG_0136_6.tif,36.810000000000002,39.080010986328098,44.160546400000001,-122.290928899999997,493.136000000000024,
115,,IMG_0138_6.tif,33.289999999999999,39.029992675781301,44.160163200000000,-122.290928800000003,493.367000000000019,
117,,IMG_0140_6.tif,36.789999999999999,38.990014648437501,44.159728299999998,-122.290930200000005,492.963000000000022,
118,,IMG_0141_6.tif,37.549999999999997,38.959985351562501,44.159497100000003,-122.290929599999998,492.980999999999995,
119,,IMG_0142_6.tif,37.170000000000002,38.950006103515598,44.159279699999999,-122.290929300000002,493.023000000000025,
120,,IMG_0143_6.tif,37.850000000000001,38.939996337890598,44.159063000000003,-122.290928100000002,493.216999999999985,
121,,IMG_0144_6.tif,38.270000000000003,38.950006103515598,44.158860099999998,-122.290926499999998,493.250999999999976,
122,,IMG_0145_6.tif,38.149999999999999,38.959985351562501,44.158641299999999,-122.290926200000001,493.324999999999989,
123,,IMG_0146_6.tif,37.789999999999999,38.950006103515598,44.158410099999998,-122.290925700000003,493.473999999999990,
124,,IMG_0147_6.tif,37.289999999999999,38.950006103515598,44.158208899999998,-122.290924500000003,493.495000000000005,
125,,IMG_0148_6.tif,37.329999999999998,38.950006103515598,44.157993200000000,-122.290923300000003,493.685999999999979,
126,,IMG_0149_6.tif,37.810000000000002,38.939996337890598,44.157719200000003,-122.290925299999998,493.283999999999992,
127,,IMG_0150_6.tif,38.049999999999997,38.950006103515598,44.157532500000002,-122.290922199999997,493.386000000000024,
128,,IMG_0151_6.tif,36.649999999999999,38.950006103515598,44.157315799999999,-122.290922899999998,493.206000000000017,
129,,IMG_0152_6.tif,34.210000000000001,38.929986572265598,44.157129300000001,-122.290923899999996,493.163000000000011,
130,,IMG_0153_6.tif,32.310000000000002,38.939996337890598,44.156913000000003,-122.290922899999998,493.026000000000010,
131,,IMG_0154_6.tif,37.729999999999997,38.939996337890598,44.156756100000003,-122.290923000000006,492.968999999999994,
132,,IMG_0155_6.tif,37.969999999999999,38.920007324218801,44.156469000000001,-122.290923100000001,492.973000000000013,
133,,IMG_0156_6.tif,37.990000000000002,38.920007324218801,44.156224799999997,-122.290924300000000,492.889999999999986,
134,,IMG_0157_6.tif,36.570000000000100,38.920007324218801,44.156038400000000,-122.290928699999995,492.853999999999985,
135,,IMG_0158_6.tif,36.350000000000001,38.920007324218801,44.156039499999999,-122.290924500000003,492.821000000000026,
136,,IMG_0159_6.tif,37.869999999999997,38.920007324218801,44.156038400000000,-122.290899100000004,493.014999999999986,
137,,IMG_0160_6.tif,37.810000000000002,38.929986572265598,44.156038000000002,-122.290565900000004,493.197000000000003,
138,,IMG_0161_6.tif,38.430000000000000,38.929986572265598,44.156037800000000,-122.290289000000001,493.463999999999999,
139,,IMG_0162_6.tif,38.130000000000102,38.920007324218801,44.156037200000000,-122.290084300000004,493.778000000000020,
140,,IMG_0163_6.tif,37.930000000000000,38.899987792968801,44.156044899999998,-122.290090199999995,493.255999999999972,
141,,IMG_0164_6.tif,37.869999999999997,38.890008544921898,44.156182000000001,-122.290085099999999,493.423999999999978,
142,,IMG_0165_6.tif,36.409999999999997,38.860009765625001,44.156427200000003,-122.290080300000000,493.942000000000007,
143,,IMG_0166_6.tif,36.530000000000001,38.809991455078098,44.156685199999998,-122.290081799999996,493.675000000000011,
144,,IMG_0167_6.tif,37.490000000000002,38.800012207031301,44.156799999999997,-122.290081200000003,493.663999999999987,
145,,IMG_0168_6.tif,37.549999999999997,38.770013427734398,44.157060700000002,-122.290080099999997,493.660000000000025,
146,,IMG_0169_6.tif,35.549999999999997,38.760003662109398,44.157247300000002,-122.290080000000003,493.581000000000017,
147,,IMG_0170_6.tif,37.049999999999997,38.730004882812501,44.157447400000002,-122.290079199999994,493.346999999999980,
148,,IMG_0171_6.tif,37.190000000000097,38.689996337890598,44.157722700000001,-122.290080200000006,493.415999999999997,
149,,IMG_0172_6.tif,36.149999999999999,38.659997558593801,44.157896700000002,-122.290079700000007,493.254000000000019,
150,,IMG_0173_6.tif,36.430000000000000,38.629998779296898,44.158098699999996,-122.290079500000004,493.288999999999987,
151,,IMG_0174_6.tif,37.729999999999997,38.600000000000001,44.158358200000002,-122.290076799999994,492.997999999999990,
159,10360382,IMG_0182_6.tif,34.009999999999998,38.429986572265598,44.160012999999999,-122.290075999999999,492.968999999999994,n
164,10862878,IMG_0187_6.tif,32.530000000000001,38.339990234375001,44.160554599999998,-122.289839999999998,492.571000000000026,y
211,10360378,IMG_0234_6.tif,32.890000000000001,38.350000000000001,44.159545899999998,-122.288396899999995,492.975000000000023,y
213,10524511,IMG_0236_6.tif,34.190000000000097,38.300012207031301,44.159979000000000,-122.288400100000004,492.742000000000019,y
152,,IMG_0175_6.tif,37.630000000000102,38.580010986328098,44.158546000000001,-122.290077600000004,492.884000000000015,
153,,IMG_0176_6.tif,37.289999999999999,38.559991455078098,44.158748099999997,-122.290076400000004,493.014999999999986,
