OID_,HOBO_IDint,COUNT,AREA,MIN,MAX,MEAN,sensor_id,temp_f,temp_c
2,10862875,55.000000000000000,56.105499999994628,21.639999389648438,28.860000610351562,23.876727190884672,10862875,62.875000000000000,17.152777780000001
3,10862878,59.000000000000000,60.185899999994234,20.659999847412109,33.060001373291016,22.764406753798664,10862878,62.232999999999997,16.796111109999998
4,10862879,61.000000000000000,62.226099999994041,20.030000686645508,26.270000457763672,21.899508241747252,10862879,61.418999999999997,16.343888889999999
5,10862884,66.000000000000000,67.326599999993547,20.329999923706055,28.670000076293945,22.094999920238141,10862884,62.191000000000003,16.772777779999998
6,10862886,73.000000000000000,74.467299999992875,20.719999313354492,24.180000305175781,21.611369851517349,10862886,62.148000000000003,16.748888890000000
8,10862915,66.000000000000000,67.326599999993547,20.329999923706055,28.670000076293945,22.094999920238141,10862915,61.506000000000000,16.392222220000001
9,10862917,66.000000000000000,67.326599999993547,20.329999923706055,28.670000076293945,22.094999920238141,10862917,61.247999999999998,16.248888890000000
10,10972426,61.000000000000000,62.226099999994041,20.030000686645508,26.270000457763672,21.899508241747252,10972426,61.075000000000003,16.152777780000001
1,10792418,72.000000000000000,73.447199999992961,20.649999618530273,23.799999237060547,21.447638856040101,,,
7,10862894,64.000000000000000,65.286399999993748,19.860000610351562,27.680000305175781,21.816718637943268,,,
