OID_,Log_ID_txt,ZONE_CODE,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM,MEDIAN,PCT90
1,10792428,1,2587.000000000000000,10.893078628640415,0.145299151539803,0.825065255165100,0.679766103625298,0.633056190439436,0.088811688816967,1637.716364666820027,0.616883099079132,0.767571079730988
2,2331257,2,1061.000000000000000,4.467551768452834,0.576388895511627,1.000000000000000,0.423611104488373,0.917001286730465,0.057030211869248,972.938365221023219,0.922705292701721,1.000000000000000
3,10862876,3,2324.000000000000000,9.785664759551731,-0.222588002681732,1.000000000000000,1.222588002681732,0.527806969564095,0.181271134598924,1226.623397266957909,0.540561467409134,0.729376202821732
4,10862886,4,14070.000000000000000,59.244536646683670,-0.297796934843063,1.000000000000000,1.297796934843063,0.631032440509831,0.180284349919299,8878.626437973316570,0.642105281352997,0.852250027656555
5,10862878,5,10773.000000000000000,45.361861641416006,-0.386180698871613,1.000000000000000,1.386180698871613,0.864243926026569,0.183314895202449,9310.499815084229340,0.919060051441193,1.000000000000000
6,10360382,6,325.000000000000000,1.368477214653319,0.000000000000000,1.000000000000000,1.000000000000000,0.879045833991124,0.269396496408156,285.689896047115383,1.000000000000000,1.000000000000000
7,10360378,7,1047.000000000000000,4.408601980744691,0.165856286883354,0.942477881908417,0.776621595025063,0.760087659061241,0.121350146831317,795.811779037118981,0.779324054718018,0.905882358551025
8,10524511,8,5471.000000000000000,23.036734896517864,-0.004964147694409,1.000000000000000,1.004964147694409,0.933807661476509,0.145466067728462,5108.861715937980080,1.000000000000000,1.000000000000000
9,10360379,9,2440.000000000000000,10.274105857704916,-0.352747261524200,1.000000000000000,1.352747261524200,0.951800806340991,0.147897287308715,2322.393967472016811,1.000000000000000,1.000000000000000
10,10862908,10,532.000000000000000,2.240091932909432,0.079365082085133,0.900118887424469,0.820753805339336,0.684409038282762,0.106825769595191,364.105608366429522,0.698516070842743,0.795074748992920
11,10862923,11,1458.000000000000000,6.139199319890888,-0.122251540422440,0.767068266868591,0.889319807291031,0.589504382964632,0.142074953003767,859.497390362433862,0.628174364566803,0.716272723674774
12,2331280a,12,207.000000000000000,0.871614718256114,0.183047786355019,0.507487535476685,0.324439749121666,0.383631583789121,0.061218261978095,79.411737844347996,0.396024465560913,0.450685346126556
13,10862915,16,3625.000000000000000,15.263784317287016,-0.095980308949947,1.000000000000000,1.095980308949947,0.790468570592075,0.182848233632965,2865.448568396271185,0.806451618671417,1.000000000000000
14,10862879,17,7107.000000000000000,29.925438660126570,-0.222748816013336,1.000000000000000,1.222748816013336,0.791912997492153,0.254419111086341,5628.125673176735290,0.952941179275513,1.000000000000000
15,10862875a,18,1743.000000000000000,7.339248569663797,0.139664798974991,0.961961984634399,0.822297185659409,0.735451401040874,0.191923445484127,1281.891792014243947,0.789109766483307,0.928465700149536
16,10872720,19,122.000000000000000,0.513705292885246,-0.107382550835609,0.970802903175354,1.078185454010963,0.805901431844982,0.248809039425185,98.319974685087843,0.881347417831421,0.937298387289047
17,10862894,20,8146.000000000000000,34.300355047895181,-0.596231043338776,1.000000000000000,1.596231043338776,0.589672507039162,0.264854262749727,4803.472242341009405,0.606983333826065,0.941255658864975
