OID_,CID,temp19,temp21
1,1,19.2536240,20.8307152
2,1,17.9532166,18.7371502
3,1,18.0823364,18.9308281
4,1,18.5342503,20.4525814
5,1,26.5949326,21.1904011
6,1,18.6818142,20.3050175
7,1,18.9216061,19.6133118
8,1,18.3866863,20.7015953
9,1,28.7161636,22.3709126
10,1,18.9584961,22.4170265
11,1,18.8017101,19.5856438
12,1,18.1745625,19.0046101
13,1,17.5474167,19.2351799
14,1,17.8886566,19.7424297
15,1,18.2667904,19.2075100
16,1,19.4565258,20.8399372
17,1,17.6211987,18.9308281
18,1,18.4789124,19.3181820
19,1,18.7924862,19.5395298
20,1,17.6857567,18.6172562
21,1,17.7410927,18.5803642
22,1,19.1152821,18.8109322
23,1,18.6172562,19.0876141
24,1,18.1100025,19.1245060
25,1,18.2575665,19.4473019
26,1,17.9716625,19.5303078
27,1,19.2259560,20.3511314
28,1,22.3616905,20.6001453
29,1,19.4104099,22.3801365
30,1,25.6173210,25.7925529
31,1,17.4459667,18.7094822
32,1,18.6725922,19.3919659
33,1,18.8478241,20.0191116
34,1,18.4051304,20.2404575
35,1,18.5711403,20.0191116
36,1,18.7740421,19.7516518
37,1,17.5289707,18.8478241
38,1,18.5065823,19.5395298
39,1,17.8702106,19.2628460
40,1,18.6449223,19.1429520
41,1,18.8293781,19.9914436
42,1,19.8069878,20.7292633
43,1,20.8583813,20.7108173
44,1,17.6857567,18.5895863
45,1,24.9348354,25.0547333
46,1,18.9861641,20.3234615
47,1,20.6739273,20.2312355
48,1,19.0046101,19.8807697
49,1,17.3998528,18.2760124
50,1,18.5895863,19.6778698
51,1,20.8030453,18.8754921
52,1,18.2299004,19.1798420
53,1,18.4420223,19.0230541
54,1,19.0507240,19.5948658
55,1,17.7687626,19.1060600
56,1,17.9071026,19.0138321
57,1,17.5197487,18.8754921
58,1,18.3866863,19.5579739
59,1,26.8808365,21.3656330
60,1,17.2153969,18.8570461
61,1,18.5434742,19.1613979
62,1,18.9492741,19.6870937
63,1,18.2483444,19.2167339
64,1,18.0638905,19.5764198
65,1,18.3866863,19.8992157
66,1,18.0731125,18.5526943
67,1,18.8017101,19.9545517
68,1,18.7371502,19.9268856
69,1,19.8992157,19.0599461
70,1,18.0177746,19.0322781
71,1,20.6093693,20.4433594
72,1,17.9347706,19.1613979
73,1,18.6264763,19.8069878
74,1,18.5619183,18.9769421
75,1,21.2918510,21.3840790
76,1,18.5065823,20.2681255
77,1,16.9848289,18.3405724
78,1,18.4235764,19.3089619
79,1,18.2944584,19.4749699
80,1,18.5342503,19.7608757
81,1,19.4841919,21.0520592
82,1,17.8056526,19.0691700
83,1,18.4143543,19.5395298
84,1,18.6725922,19.9729977
85,1,18.7555962,19.6963158
86,1,17.4367428,20.2035675
87,1,20.1943436,21.7253208
88,1,18.6818142,19.6133118
89,1,20.7292633,20.6278133
90,1,20.5448093,21.1904011
91,1,18.0269985,19.4565258
92,1,19.0783920,20.0467796
93,1,18.9677200,18.9123840
94,1,18.4235764,18.9123840
95,1,18.0915565,19.0046101
96,1,17.8056526,19.1613979
97,1,18.1930084,18.8201561
98,1,17.9716625,18.9031601
99,1,21.3748569,21.9558887
100,1,19.0230541,20.6647053
