OID_,CID,TIR2009,TIR2009_mask_1,TIR08262019Masknew_1
1,1,18.0000000,180,16.3700008
2,1,17.3999996,174,17.2199993
3,1,17.1000004,171,17.3099995
4,1,17.1000004,171,16.0699997
5,1,17.1000004,171,16.3799992
6,1,17.2000008,172,18.0499992
7,1,17.2000008,172,16.7299995
8,1,17.1000004,171,15.9799995
9,1,17.1000004,171,16.6900005
10,1,17.1000004,171,16.5100002
11,1,17.2000008,172,16.2199993
12,1,17.7999992,178,16.8700008
13,1,17.2000008,172,16.0799999
14,1,17.2999992,173,19.0900002
15,1,17.2000008,172,17.0699997
16,1,17.2000008,172,16.2000008
17,1,17.2999992,173,15.8900003
18,1,17.0000000,170,16.3600006
19,1,19.5000000,195,18.1000004
20,1,17.2000008,172,17.0300007
21,1,17.1000004,171,16.6100006
22,1,17.1000004,171,17.9200001
23,1,17.1000004,171,17.3999996
24,1,17.2999992,173,16.1299992
25,1,17.2000008,172,17.5200005
26,1,17.2000008,172,17.3099995
27,1,17.2000008,172,16.1100006
28,1,17.1000004,171,16.9099998
29,1,17.2000008,172,17.1100006
30,1,18.1000004,181,16.3099995
31,1,17.1000004,171,16.2199993
32,1,17.2000008,172,16.2600002
33,1,17.2000008,172,16.1399994
34,1,17.2000008,172,16.5599995
35,1,17.2999992,173,16.6299992
36,1,17.2999992,173,16.8799992
37,1,17.6000004,176,16.8400002
38,1,17.2000008,172,16.7800007
39,1,17.0000000,170,16.7700005
40,1,17.1000004,171,16.6900005
41,1,17.1000004,171,16.0799999
42,1,17.2000008,172,16.2299995
43,1,17.2000008,172,16.3799992
44,1,17.1000004,171,18.0000000
45,1,17.6000004,176,17.1499996
46,1,17.3999996,174,16.2000008
47,1,17.2000008,172,17.2000008
48,1,17.1000004,171,16.9099998
49,1,17.1000004,171,16.6000004
50,1,17.2000008,172,17.2299995
51,1,17.2000008,172,16.7600002
52,1,17.1000004,171,16.4899998
53,1,17.3999996,174,17.7600002
54,1,17.1000004,171,16.5000000
55,1,17.3999996,174,17.4099998
56,1,17.3999996,174,17.8600006
57,1,17.5000000,175,17.2299995
58,1,17.1000004,171,18.7399998
59,1,17.2000008,172,16.3400002
60,1,17.1000004,171,17.6200008
61,1,17.1000004,171,16.1800003
62,1,17.0000000,170,16.6800003
63,1,17.2000008,172,16.6900005
64,1,17.2000008,172,17.1800003
65,1,17.5000000,175,16.9599991
66,1,17.2999992,173,17.3999996
67,1,17.2999992,173,16.1800003
68,1,17.1000004,171,16.3099995
69,1,17.1000004,171,17.0599995
70,1,17.0000000,170,16.7700005
71,1,17.2999992,173,17.8199997
72,1,17.2000008,172,15.9499998
73,1,17.3999996,174,16.9699993
74,1,17.1000004,171,17.5100002
75,1,17.1000004,171,16.7900009
76,1,19.0000000,190,17.0799999
77,1,18.1000004,181,17.3600006
78,1,17.3999996,174,17.8400002
79,1,17.3999996,174,16.7299995
80,1,17.1000004,171,17.9200001
81,1,17.2000008,172,17.5799999
82,1,17.2000008,172,16.7099991
83,1,17.1000004,171,17.4699993
84,1,17.2000008,172,17.1200008
85,1,17.2000008,172,16.1800003
86,1,17.1000004,171,17.7399998
87,1,17.2000008,172,16.0300007
88,1,17.2000008,172,16.3600006
89,1,17.1000004,171,16.3999996
90,1,19.1000004,191,16.8500004
91,1,17.2999992,173,16.9500008
92,1,17.2000008,172,16.1000004
93,1,17.1000004,171,16.5900002
94,1,17.2000008,172,17.3999996
95,1,17.3999996,174,16.3700008
96,1,17.2000008,172,18.4799995
97,1,17.2000008,172,17.1599998
98,1,17.1000004,171,16.2999992
99,1,17.1000004,171,16.0799999
100,1,17.2000008,172,16.4899998
101,1,17.1000004,171,16.3999996
102,1,17.2000008,172,16.4799995
103,1,17.1000004,171,16.3500004
104,1,17.1000004,171,17.7600002
105,1,17.6000004,176,18.2299995
106,1,17.1000004,171,16.2700005
107,1,17.2000008,172,16.4799995
108,1,17.2000008,172,16.1499996
109,1,17.1000004,171,17.9200001
110,1,17.2000008,172,16.2800007
111,1,17.2000008,172,16.2700005
112,1,17.1000004,171,16.3400002
113,1,18.3999996,184,17.1000004
114,1,17.2000008,172,16.7700005
115,1,17.3999996,174,17.6299992
116,1,17.3999996,174,16.7199993
117,1,17.2000008,172,18.3500004
118,1,17.2000008,172,18.3999996
119,1,18.1000004,181,16.8500004
120,1,17.1000004,171,18.2099991
121,1,17.1000004,171,16.8099995
122,1,17.6000004,176,16.9799995
123,1,17.1000004,171,16.3600006
124,1,17.1000004,171,17.4400005
125,1,17.3999996,174,18.6800003
126,1,17.2000008,172,16.8999996
127,1,17.1000004,171,17.5100002
128,1,17.2000008,172,16.5200005
129,1,18.7999992,188,16.8299999
130,1,17.2000008,172,16.1599998
131,1,17.2000008,172,17.1000004
132,1,17.1000004,171,17.6200008
133,1,17.2999992,173,16.9699993
134,1,17.1000004,171,17.0100002
135,1,17.2999992,173,17.3899994
136,1,17.2000008,172,16.1800003
137,1,17.2000008,172,16.6900005
138,1,17.1000004,171,18.5100002
139,1,17.1000004,171,16.3199997
140,1,18.0000000,180,16.3700008
141,1,17.1000004,171,16.1499996
142,1,17.6000004,176,16.7099991
143,1,17.2999992,173,16.1000004
144,1,17.2999992,173,16.6100006
145,1,17.1000004,171,16.2600002
146,1,17.1000004,171,16.2299995
147,1,17.1000004,171,16.2800007
148,1,17.1000004,171,17.4599991
149,1,16.8999996,169,17.0599995
150,1,17.6000004,176,16.6399994
151,1,17.2000008,172,16.9799995
152,1,17.2000008,172,16.2299995
153,1,17.2000008,172,16.5400009
154,1,17.2999992,173,17.6000004
155,1,17.2000008,172,16.1900005
156,1,17.1000004,171,15.9700003
157,1,17.3999996,174,16.3799992
158,1,17.2999992,173,15.9499998
159,1,17.1000004,171,16.8700008
160,1,17.1000004,171,16.3299999
161,1,17.5000000,175,16.2999992
162,1,17.1000004,171,17.0300007
163,1,19.3999996,194,16.9500008
164,1,17.5000000,175,16.9400005
165,1,17.1000004,171,16.1100006
166,1,17.2000008,172,16.2299995
167,1,17.2000008,172,16.2399998
168,1,17.1000004,171,16.4300003
169,1,17.1000004,171,18.7099991
170,1,17.2000008,172,16.2999992
171,1,17.2000008,172,15.8699999
172,1,17.2000008,172,16.0900002
173,1,17.0000000,170,16.0599995
174,1,17.2000008,172,16.8799992
175,1,17.2000008,172,16.2099991
176,1,19.7999992,198,16.1000004
177,1,17.7000008,177,16.3099995
178,1,17.2000008,172,17.2999992
179,1,17.7000008,177,16.2199993
180,1,17.6000004,176,19.7000008
181,1,17.2000008,172,15.9499998
182,1,17.1000004,171,18.0599995
183,1,17.5000000,175,16.1900005
184,1,17.2000008,172,16.3099995
185,1,17.0000000,170,16.1700001
186,1,17.2999992,173,16.1000004
