OID_,CID,TIR08262019Masknew_1,TIR07152021Masknew_1
1,1,16.7399998,18.7700005
2,1,21.3799992,17.9400005
3,1,19.8400002,18.2800007
4,1,20.3700008,17.3600006
5,1,20.8199997,18.2800007
6,1,19.7800007,18.1299992
7,1,19.8299999,18.3500004
8,1,20.2099991,17.5599995
9,1,21.2900009,17.8500004
10,1,20.0499992,17.8299999
11,1,19.3500004,18.5200005
12,1,20.8099995,18.1100006
13,1,20.2399998,19.7000008
14,1,20.1499996,18.2199993
15,1,20.7700005,18.0200005
16,1,20.2800007,17.3099995
17,1,25.0100002,19.3600006
18,1,18.6299992,19.8099995
19,1,17.8799992,19.3299999
20,1,18.3400002,19.3999996
21,1,18.0000000,19.6200008
22,1,17.8999996,19.6499996
23,1,17.5200005,19.7199993
24,1,17.7000008,19.7800007
25,1,18.0799999,19.5499992
26,1,20.2600002,23.2299995
27,1,6.9000001,19.5799999
28,1,20.8600006,23.4699993
29,1,17.8099995,19.5799999
30,1,20.7199993,21.8999996
31,1,17.8400002,19.5499992
32,1,17.9899998,19.3999996
33,1,3.5699999,19.1200008
34,1,17.9799995,19.6200008
35,1,18.2099991,19.4599991
36,1,18.5300007,19.6700001
37,1,20.1000004,21.5300007
38,1,17.4099998,18.5300007
39,1,18.2900009,19.3600006
40,1,17.6499996,18.5599995
41,1,17.5100002,18.4400005
42,1,17.5900002,18.6100006
43,1,17.7199993,19.0599995
44,1,17.6900005,18.6599998
45,1,17.9699993,19.6700001
46,1,17.6599998,18.7199993
47,1,17.7900009,18.9200001
48,1,18.1299992,19.0100002
49,1,17.5200005,18.4300003
50,1,17.7700005,18.7000008
51,1,17.3600006,17.8899994
52,1,17.1000004,18.5100002
53,1,17.8500004,18.7700005
54,1,16.7299995,17.8999996
55,1,17.8299999,18.2600002
56,1,16.8199997,17.9300003
57,1,17.0799999,18.0400009
58,1,17.2399998,18.1499996
59,1,16.8500004,18.7900009
60,1,17.7800007,19.6399994
61,1,17.4799995,18.4799995
62,1,17.0799999,17.8999996
63,1,17.4599991,18.7399998
64,1,16.7600002,18.1000004
65,1,17.1100006,18.1000004
66,1,16.9799995,18.0300007
67,1,16.5799999,18.0200005
68,1,17.3299999,18.0499992
69,1,17.2700005,18.6200008
70,1,17.4699993,18.7099991
71,1,16.7900009,18.1299992
72,1,17.0300007,17.8999996
73,1,16.7199993,17.8600006
74,1,17.2600002,18.4899998
75,1,17.0599995,18.7000008
76,1,17.1299992,18.1499996
77,1,16.5599995,18.0200005
