OID_,CID,temp09,temp19,temp09c
1,1,172,26.2900009,17.2000008
2,1,173,19.2900009,17.2999992
3,1,180,16.2800007,18.0000000
4,1,171,16.2999992,17.1000004
5,1,172,23.4899998,17.2000008
6,1,171,22.8500004,17.1000004
7,1,171,16.7000008,17.1000004
8,1,174,16.6200008,17.3999996
9,1,172,24.7299995,17.2000008
10,1,173,17.3299999,17.2999992
11,1,172,16.8700008,17.2000008
12,1,171,19.7900009,17.1000004
13,1,175,17.8799992,17.5000000
14,1,175,20.2000008,17.5000000
15,1,171,20.2800007,17.1000004
16,1,172,17.0599995,17.2000008
17,1,177,19.4400005,17.7000008
18,1,172,21.7000008,17.2000008
19,1,172,16.0400009,17.2000008
20,1,172,16.5200005,17.2000008
21,1,171,27.1200008,17.1000004
22,1,174,16.6200008,17.3999996
23,1,171,28.3600006,17.1000004
24,1,172,17.1499996,17.2000008
25,1,172,18.0200005,17.2000008
26,1,172,16.6800003,17.2000008
27,1,172,21.7900009,17.2000008
28,1,172,16.4200001,17.2000008
29,1,175,16.1499996,17.5000000
30,1,172,23.3600006,17.2000008
31,1,172,16.2999992,17.2000008
32,1,174,21.5900002,17.3999996
33,1,172,16.8799992,17.2000008
34,1,172,26.7900009,17.2000008
35,1,173,19.5400009,17.2999992
36,1,172,16.9599991,17.2000008
37,1,172,21.8899994,17.2000008
38,1,171,15.9499998,17.1000004
39,1,171,20.2600002,17.1000004
40,1,173,28.7800007,17.2999992
41,1,177,19.9200001,17.7000008
42,1,171,16.8600006,17.1000004
43,1,171,17.3700008,17.1000004
44,1,171,16.1299992,17.1000004
45,1,171,17.2000008,17.1000004
46,1,171,16.0200005,17.1000004
47,1,172,17.8099995,17.2000008
48,1,172,16.3600006,17.2000008
49,1,172,16.1299992,17.2000008
50,1,170,17.0400009,17.0000000
51,1,172,17.2000008,17.2000008
52,1,172,19.5100002,17.2000008
53,1,176,21.5599995,17.6000004
54,1,172,16.4099998,17.2000008
55,1,171,22.8799992,17.1000004
56,1,172,16.5699997,17.2000008
57,1,171,16.1000004,17.1000004
58,1,171,17.1399994,17.1000004
59,1,172,16.2000008,17.2000008
60,1,172,17.0599995,17.2000008
61,1,174,18.7500000,17.3999996
62,1,171,17.4799995,17.1000004
63,1,172,16.2600002,17.2000008
64,1,170,25.1800003,17.0000000
65,1,172,17.6499996,17.2000008
66,1,173,16.1700001,17.2999992
67,1,171,22.8299999,17.1000004
68,1,173,16.0300007,17.2999992
69,1,170,17.9799995,17.0000000
70,1,170,21.2999992,17.0000000
71,1,172,24.4799995,17.2000008
72,1,174,18.0300007,17.3999996
73,1,174,23.3099995,17.3999996
74,1,173,23.5400009,17.2999992
75,1,172,21.0300007,17.2000008
76,1,177,27.8099995,17.7000008
77,1,173,21.3600006,17.2999992
78,1,172,17.6299992,17.2000008
79,1,176,20.2000008,17.6000004
80,1,172,21.1200008,17.2000008
81,1,172,19.8899994,17.2000008
82,1,172,17.8899994,17.2000008
83,1,174,19.8500004,17.3999996
84,1,171,19.0799999,17.1000004
85,1,182,18.4500008,18.2000008
86,1,172,17.2099991,17.2000008
87,1,172,17.8500004,17.2000008
88,1,173,17.3700008,17.2999992
89,1,170,17.1100006,17.0000000
90,1,173,19.5599995,17.2999992
91,1,170,19.9300003,17.0000000
92,1,173,26.7900009,17.2999992
93,1,171,18.4500008,17.1000004
94,1,172,20.7800007,17.2000008
95,1,172,16.4099998,17.2000008
96,1,175,20.2999992,17.5000000
97,1,175,21.6000004,17.5000000
98,1,171,16.9300003,17.1000004
99,1,172,20.2399998,17.2000008
100,1,174,18.8299999,17.3999996
101,1,172,16.2299995,17.2000008
102,1,182,17.1000004,18.2000008
103,1,172,16.6299992,17.2000008
104,1,172,18.0900002,17.2000008
105,1,174,17.7000008,17.3999996
106,1,175,26.0799999,17.5000000
107,1,172,17.9200001,17.2000008
108,1,172,20.1399994,17.2000008
109,1,172,16.4099998,17.2000008
110,1,173,16.7900009,17.2999992
111,1,171,18.7199993,17.1000004
112,1,172,19.9899998,17.2000008
113,1,175,20.7399998,17.5000000
114,1,185,18.9099998,18.5000000
115,1,191,19.8700008,19.1000004
116,1,172,17.1299992,17.2000008
117,1,202,17.1000004,20.2000008
118,1,174,19.2900009,17.3999996
119,1,172,16.8999996,17.2000008
120,1,251,16.2999992,25.1000004
121,1,172,17.3299999,17.2000008
122,1,172,20.5400009,17.2000008
123,1,176,21.9200001,17.6000004
124,1,171,16.2600002,17.1000004
125,1,172,16.5499992,17.2000008
126,1,172,27.3999996,17.2000008
127,1,172,22.4099998,17.2000008
128,1,171,16.4799995,17.1000004
129,1,175,25.2700005,17.5000000
130,1,171,17.9500008,17.1000004
131,1,174,24.4400005,17.3999996
132,1,171,16.6100006,17.1000004
133,1,170,18.2800007,17.0000000
134,1,173,20.2000008,17.2999992
135,1,171,18.5200005,17.1000004
136,1,171,16.3299999,17.1000004
137,1,178,16.8099995,17.7999992
138,1,172,17.7700005,17.2000008
139,1,174,17.8199997,17.3999996
