OID_,CID,Temp2019,Temp21
1,1,23.3600006,17.7800007
2,1,22.6200008,19.0200005
3,1,22.6299992,19.6100006
4,1,17.1499996,19.3299999
5,1,20.3199997,17.9500008
6,1,20.9099998,18.5100002
7,1,20.6599998,17.6700001
8,1,21.5400009,18.2199993
9,1,21.4400005,19.6499996
10,1,22.4899998,17.3299999
11,1,19.8899994,19.3400002
12,1,21.1200008,17.8999996
13,1,21.0599995,22.3899994
14,1,19.7900009,18.7099991
15,1,22.7900009,18.7199993
16,1,20.6299992,18.3500004
17,1,20.9500008,18.1299992
18,1,20.2800007,19.2099991
19,1,20.9400005,18.5200005
20,1,24.8400002,17.8299999
21,1,22.5599995,17.4699993
22,1,20.1299992,18.3099995
23,1,20.1599998,17.6499996
24,1,20.2099991,17.5599995
25,1,21.0900002,22.2199993
26,1,21.1299992,18.1100006
27,1,21.0400009,21.7299995
28,1,20.2500000,17.6000004
29,1,20.1399994,19.8700008
30,1,19.9300003,18.8299999
31,1,19.4899998,19.8600006
32,1,17.4300003,19.0499992
33,1,20.0000000,18.5200005
34,1,19.6100006,19.4200001
35,1,19.2700005,18.8600006
36,1,20.0000000,18.6499996
37,1,20.4799995,20.1200008
38,1,23.2000008,20.6100006
39,1,19.1700001,18.7600002
40,1,19.4099998,18.8199997
41,1,23.9899998,19.2600002
42,1,13.1099997,24.9599991
43,1,20.5599995,26.5400009
44,1,20.2099991,28.3999996
45,1,22.1599998,28.5300007
46,1,18.1000004,21.8700008
47,1,17.2199993,19.2600002
48,1,21.4599991,25.2199993
49,1,18.6800003,20.6100006
50,1,16.9099998,20.7999992
51,1,18.7999992,27.5699997
52,1,18.7099991,19.4200001
53,1,23.0699997,25.8899994
54,1,17.0100002,19.0699997
55,1,17.3799992,19.1399994
56,1,20.3299999,22.7800007
57,1,18.9400005,23.8700008
58,1,20.5599995,19.6399994
59,1,17.3299999,19.5100002
60,1,11.8599997,20.2299995
61,1,17.1299992,20.1399994
62,1,22.1900005,23.1599998
63,1,15.3100004,19.7900009
64,1,22.1499996,21.7800007
65,1,18.9400005,23.7600002
66,1,13.6899996,20.3899994
67,1,19.0599995,21.7500000
68,1,19.2800007,20.1900005
69,1,22.2600002,24.0200005
70,1,22.4599991,24.0900002
71,1,22.6599998,24.0400009
72,1,17.8199997,19.4799995
73,1,22.1700001,21.4599991
74,1,23.9899998,22.1100006
75,1,18.0200005,20.9899998
76,1,17.8400002,21.1700001
77,1,20.2099991,22.9799995
78,1,20.2299995,21.4899998
79,1,19.0200005,22.8400002
80,1,20.0699997,20.5000000
81,1,21.8700008,25.2299995
82,1,18.2700005,19.4400005
83,1,18.2800007,20.3099995
84,1,18.9400005,21.5200005
85,1,20.1900005,25.3600006
86,1,18.6299992,20.0100002
87,1,18.2900009,20.7900009
88,1,17.5699997,20.3600006
89,1,24.7399998,23.6700001
90,1,18.2199993,20.1800003
91,1,28.5400009,27.7600002
92,1,26.5799999,26.6399994
93,1,25.8500004,27.6800003
94,1,18.7399998,19.8600006
95,1,21.7800007,22.5900002
96,1,26.8700008,27.6100006
97,1,18.5400009,20.5200005
98,1,19.3299999,22.4599991
99,1,17.4500008,18.9300003
100,1,18.3799992,22.0000000
101,1,18.1399994,19.4899998
102,1,21.3600006,22.1399994
103,1,18.7500000,20.7700005
104,1,17.9899998,18.6299992
105,1,20.5300007,23.3099995
106,1,17.4599991,18.6499996
107,1,17.9200001,18.5499992
108,1,17.1499996,18.3700008
109,1,16.7600002,17.7800007
110,1,23.7600002,21.7500000
111,1,23.7500000,23.8999996
112,1,20.0799999,20.1499996
113,1,17.2500000,18.0300007
114,1,19.0000000,19.8799992
115,1,17.2700005,17.8400002
116,1,19.7000008,20.9500008
117,1,20.7600002,20.5900002
118,1,22.1200008,21.7299995
119,1,17.5300007,18.8400002
120,1,17.7800007,19.0699997
121,1,17.4500008,18.9099998
122,1,18.7099991,21.1299992
123,1,22.0499992,24.6599998
124,1,17.5599995,18.6399994
125,1,17.9500008,19.0200005
126,1,16.9500008,17.6000004
127,1,17.9500008,20.5100002
128,1,16.8600006,17.7700005
129,1,18.7199993,19.7399998
130,1,17.2999992,18.3199997
131,1,21.3400002,25.3400002
132,1,21.1599998,22.3199997
133,1,17.2399998,18.7600002
134,1,23.2099991,25.0100002
135,1,17.0400009,17.7199993
136,1,17.3099995,19.2800007
137,1,16.9699993,19.2000008
138,1,18.7299995,19.0799999
139,1,17.7600002,19.2099991
140,1,17.2399998,18.5900002
141,1,17.8400002,19.0400009
142,1,18.9899998,22.6200008
143,1,17.8299999,18.8400002
144,1,17.6800003,20.1499996
145,1,17.5900002,19.0599995
146,1,17.9699993,20.0900002
147,1,18.2099991,19.1299992
148,1,19.0499992,20.6499996
149,1,17.6599998,18.4799995
150,1,17.2399998,18.5100002
151,1,17.0699997,19.3600006
152,1,17.3400002,18.8600006
153,1,17.1599998,18.2299995
154,1,16.9099998,19.8500004
155,1,17.1399994,18.3500004
156,1,17.2800007,18.7399998
157,1,17.0400009,19.1200008
158,1,16.9799995,19.9699993
159,1,17.0300007,18.5499992
160,1,16.7500000,17.9500008
161,1,19.1599998,20.8400002
162,1,18.6399994,18.7600002
163,1,18.7500000,20.0400009
164,1,19.2800007,18.2000008
165,1,17.1100006,17.7299995
166,1,17.1299992,18.0000000
167,1,16.4699993,18.1700001
168,1,18.1200008,19.4899998
169,1,20.9699993,20.6800003
170,1,16.0900002,17.6900005
171,1,18.2399998,23.1000004
172,1,16.6200008,17.9300003
173,1,16.5900002,17.8799992
174,1,16.2000008,17.4200001
175,1,20.5900002,24.0300007
176,1,18.1900005,21.1900005
177,1,17.0000000,18.7800007
178,1,16.1900005,17.7900009
179,1,16.2399998,17.8099995
180,1,17.3199997,18.7000008
181,1,16.9200001,18.0900002
182,1,18.5799999,28.4400005
183,1,19.4200001,19.5100002
184,1,16.2900009,18.3199997
185,1,17.0200005,17.2800007
186,1,17.2299995,23.7900009
187,1,16.7700005,18.1399994
188,1,16.7299995,17.6100006
189,1,16.8799992,17.5400009
190,1,16.9699993,17.9200001
191,1,16.4599991,17.8500004
192,1,19.7399998,21.9899998
193,1,18.8199997,20.5400009
194,1,16.2700005,17.3999996
195,1,17.5300007,17.3799992
196,1,17.1499996,18.2600002
197,1,15.9799995,18.2800007
198,1,17.0200005,17.4899998
199,1,19.0900002,19.3899994
200,1,17.1000004,17.3099995
201,1,19.9699993,19.1000004
202,1,22.9799995,22.3299999
203,1,18.4500008,19.1100006
204,1,16.6000004,18.5599995
205,1,19.4300003,22.3099995
206,1,16.7900009,18.2000008
207,1,16.9699993,17.7999992
208,1,18.7999992,18.1000004
209,1,16.7099991,17.8299999
210,1,16.1100006,17.3500004
211,1,16.2099991,17.4200001
212,1,16.6700001,17.8899994
213,1,17.8099995,21.7900009
214,1,16.0499992,18.6599998
215,1,16.6399994,17.9599991
216,1,16.7500000,17.9300003
217,1,16.1499996,17.2800007
218,1,18.4699993,19.4400005
219,1,16.6000004,17.6700001
220,1,16.1000004,17.1700001
221,1,16.8099995,17.7500000
222,1,16.6499996,18.0599995
223,1,16.7900009,17.8299999
224,1,16.2299995,17.2099991
225,1,16.3799992,17.5000000
226,1,17.9400005,20.1100006
227,1,17.0499992,17.6000004
228,1,16.8400002,17.7399998
229,1,16.0100002,18.3400002
230,1,16.8500004,17.4200001
231,1,17.7900009,18.8600006
232,1,16.5799999,17.6299992
233,1,27.1900005,27.2500000
234,1,18.6100006,18.6800003
235,1,16.4300003,17.9699993
236,1,16.2399998,17.9200001
237,1,17.6000004,20.2199993
238,1,16.2600002,17.7199993
239,1,16.9300003,18.1800003
