OID_,CID,temp2019,temp2021,temp2019_1,temp2021_1
1,1,20.5499992,22.0400009,20.5499992,22.0400009
2,1,21.9200001,18.0200005,21.9200001,18.0200005
3,1,21.2900009,21.5599995,21.2900009,21.5599995
4,1,21.2099991,24.5799999,21.2099991,24.5799999
5,1,20.0300007,20.0699997,20.0300007,20.0699997
6,1,19.9599991,19.4400005,19.9599991,19.4400005
7,1,25.3799992,23.8400002,25.3799992,23.8400002
8,1,20.5100002,17.4899998,20.5100002,17.4899998
9,1,22.8400002,22.9099998,22.8400002,22.9099998
10,1,23.2600002,18.7800007,23.2600002,18.7800007
11,1,21.7600002,17.7399998,21.7600002,17.7399998
12,1,20.3600006,17.5699997,20.3600006,17.5699997
13,1,20.7399998,17.8799992,20.7399998,17.8799992
14,1,21.8299999,17.8700008,21.8299999,17.8700008
15,1,21.2900009,17.3500004,21.2900009,17.3500004
16,1,21.1100006,19.1399994,21.1100006,19.1399994
17,1,22.8600006,22.0799999,22.8600006,22.0799999
18,1,21.0000000,17.9400005,21.0000000,17.9400005
19,1,20.3700008,17.8400002,20.3700008,17.8400002
20,1,19.6399994,18.5799999,19.6399994,18.5799999
21,1,20.5300007,19.2600002,20.5300007,19.2600002
22,1,19.0300007,19.4599991,19.0300007,19.4599991
23,1,19.4099998,18.7800007,19.4099998,18.7800007
24,1,19.3500004,18.6800003,19.3500004,18.6800003
25,1,20.7199993,21.4300003,20.7199993,21.4300003
26,1,20.6499996,19.7199993,20.6499996,19.7199993
27,1,18.0000000,19.6299992,18.0000000,19.6299992
28,1,20.1200008,17.7299995,20.1200008,17.7299995
29,1,18.7000008,19.5499992,18.7000008,19.5499992
30,1,19.2800007,18.4699993,19.2800007,18.4699993
31,1,20.0300007,18.2199993,20.0300007,18.2199993
32,1,20.3899994,17.4500008,20.3899994,17.4500008
33,1,20.1100006,19.6000004,20.1100006,19.6000004
34,1,19.8299999,18.8700008,19.8299999,18.8700008
35,1,21.5699997,21.6299992,21.5699997,21.6299992
36,1,18.7399998,20.4599991,18.7399998,20.4599991
37,1,25.3899994,19.7900009,25.3899994,19.7900009
38,1,18.2299995,20.4599991,18.2299995,20.4599991
39,1,19.2600002,23.0900002,19.2600002,23.0900002
40,1,10.5100002,21.4400005,10.5100002,21.4400005
41,1,18.2600002,22.2999992,18.2600002,22.2999992
42,1,10.0400000,19.5599995,10.0400000,19.5599995
43,1,18.0300007,19.5699997,18.0300007,19.5699997
44,1,22.1000004,22.2700005,22.1000004,22.2700005
45,1,18.9400005,20.3799992,18.9400005,20.3799992
46,1,23.3299999,24.2399998,23.3299999,24.2399998
47,1,20.9099998,22.9799995,20.9099998,22.9799995
48,1,18.5200005,23.9899998,18.5200005,23.9899998
49,1,22.1499996,24.3099995,22.1499996,24.3099995
50,1,21.0900002,22.7000008,21.0900002,22.7000008
51,1,19.6000004,23.2800007,19.6000004,23.2800007
52,1,11.5400000,22.1499996,11.5400000,22.1499996
53,1,11.5600004,21.8999996,11.5600004,21.8999996
54,1,22.8799992,22.8600006,22.8799992,22.8600006
55,1,13.3599997,22.5100002,13.3599997,22.5100002
56,1,22.4799995,25.8500004,22.4799995,25.8500004
57,1,18.8600006,20.8500004,18.8600006,20.8500004
58,1,18.9899998,22.7000008,18.9899998,22.7000008
59,1,15.3299999,19.6200008,15.3299999,19.6200008
60,1,18.2299995,23.4799995,18.2299995,23.4799995
61,1,17.6100006,18.5100002,17.6100006,18.5100002
62,1,25.1700001,26.0699997,25.1700001,26.0699997
63,1,22.0900002,23.7399998,22.0900002,23.7399998
64,1,17.5499992,18.6100006,17.5499992,18.6100006
65,1,22.4099998,25.0699997,22.4099998,25.0699997
66,1,20.8899994,23.7600002,20.8899994,23.7600002
67,1,17.3799992,18.5000000,17.3799992,18.5000000
68,1,17.4300003,18.7199993,17.4300003,18.7199993
69,1,22.1900005,24.3500004,22.1900005,24.3500004
70,1,25.1000004,25.5100002,25.1000004,25.5100002
71,1,20.5799999,23.0400009,20.5799999,23.0400009
72,1,17.7099991,19.3299999,17.7099991,19.3299999
73,1,23.9899998,27.0699997,23.9899998,27.0699997
74,1,17.6000004,18.7900009,17.6000004,18.7900009
75,1,17.4899998,18.4599991,17.4899998,18.4599991
76,1,25.3199997,25.0499992,25.3199997,25.0499992
77,1,24.6700001,21.9699993,24.6700001,21.9699993
78,1,17.1100006,18.5499992,17.1100006,18.5499992
79,1,16.7399998,17.8299999,16.7399998,17.8299999
80,1,16.5100002,18.3999996,16.5100002,18.3999996
81,1,20.7999992,20.4099998,20.7999992,20.4099998
82,1,19.7500000,23.2700005,19.7500000,23.2700005
83,1,20.1000004,20.7700005,20.1000004,20.7700005
84,1,17.3199997,18.5200005,17.3199997,18.5200005
85,1,17.1599998,17.8999996,17.1599998,17.8999996
86,1,16.9300003,17.7500000,16.9300003,17.7500000
87,1,16.9699993,17.5300007,16.9699993,17.5300007
88,1,17.9500008,19.3799992,17.9500008,19.3799992
89,1,17.1299992,18.1700001,17.1299992,18.1700001
90,1,20.7199993,20.3999996,20.7199993,20.3999996
91,1,21.8299999,20.5400009,21.8299999,20.5400009
92,1,17.7000008,21.2099991,17.7000008,21.2099991
93,1,16.9899998,17.7399998,16.9899998,17.7399998
94,1,17.0699997,18.9599991,17.0699997,18.9599991
95,1,20.8199997,22.7500000,20.8199997,22.7500000
96,1,21.2500000,23.1599998,21.2500000,23.1599998
