OID_,dist_m,POINT_X,POINT_Y,tir_cs,dist_up,tir_cor_adj_filt,year,restored,fire,temp_at_release,discharge,canopy_cov,air_temp_C
1,150,557324.731900000013411,4889648.983999999240041,-0.1932593,946,16.25,2009,0,0,15.1,511,0.717,26.7
2,152,557322.789099999703467,4889648.514399999752641,-0.1981011,944,16.3499985,2009,0,0,15.1,511,0.717,26.7
3,154,557320.968399999663234,4889647.686799999326468,-0.2043566,942,16.25,2009,0,0,15.1,511,0.717,26.7
4,156,557319.147699999623001,4889646.859200000762939,-0.2176298,940,16.25,2009,0,0,15.1,511,0.717,26.7
5,158,557317.326899999752641,4889646.031600000336766,-0.1848946,938,16.25,2009,0,0,15.1,511,0.717,26.7
6,160,557315.406700000166893,4889645.614700000733137,-0.2051907,936,16.25,2009,0,0,15.1,511,0.717,26.7
7,162,557313.409099999815226,4889645.517200000584126,-0.2380004,934,16.25,2009,0,0,15.1,511,0.717,26.7
8,164,557311.411399999633431,4889645.419800000265241,-0.2463115,932,16.1499996,2009,0,0,15.1,511,0.717,26.7
9,166,557309.414900000207126,4889645.375299999490380,-0.2246883,930,16.25,2009,0,0,15.1,511,0.717,26.7
10,170,557305.430700000375509,4889645.731100000441074,-0.2799492,926,16.1499996,2009,0,0,15.1,511,0.717,26.7
11,172,557303.435700000263751,4889645.871300000697374,-0.2759585,924,16.1499996,2009,0,0,15.1,511,0.717,26.7
12,174,557301.440299999900162,4889646.006500000134110,-0.2155049,922,16.25,2009,0,0,15.1,511,0.717,26.7
13,176,557299.457299999892712,4889646.242499999701977,-0.2155422,920,16.25,2009,0,0,15.1,511,0.717,26.7
14,178,557297.489199999719858,4889646.598099999129772,-0.2175873,918,16.25,2009,0,0,15.1,511,0.717,26.7
15,222,557255.931599999777973,4889659.717599999159575,-0.2032613,874,16.25,2009,0,0,15.1,511,0.717,26.7
16,224,557254.227900000289083,4889660.759299999102950,-0.211166,872,16.25,2009,0,0,15.1,511,0.717,26.7
17,228,557250.982800000347197,4889663.084699999541044,-0.2121303,868,16.25,2009,0,0,15.1,511,0.717,26.7
18,274,557228.978900000452995,4889699.775299999862909,-0.2021077,822,16.25,2009,0,0,15.1,511,0.717,26.7
19,288,557222.886300000362098,4889712.366499999538064,-0.2086203,808,16.25,2009,0,0,15.1,511,0.717,26.7
20,310,557217.459499999880791,4889733.677799999713898,-0.2052004,786,16.1499996,2009,0,0,15.1,511,0.717,26.7
21,320,557216.347000000067055,4889743.613600000739098,-0.1281882,776,16.3499985,2009,0,0,15.1,511,0.717,26.7
22,322,557216.902300000190735,4889745.491200000047684,-0.2016557,774,16.25,2009,0,0,15.1,511,0.717,26.7
23,334,557221.542500000447035,4889756.553799999877810,-0.1242676,762,16.3499985,2009,0,0,15.1,511,0.717,26.7
24,346,557227.843700000084937,4889766.766300000250340,0.3297891,750,16.9499989,2009,0,0,15.1,511,0.717,26.7
25,348,557228.902800000272691,4889768.462300000712276,0.3394461,748,16.9499989,2009,0,0,15.1,511,0.717,26.7
26,2,557435.950400000438094,4889730.821299999952316,-0.2307896,1094,16.25,2009,0,0,15.1,511,0.717,26.7
27,4,557434.874499999918044,4889729.135299999266863,-0.2552679,1092,16.1499996,2009,0,0,15.1,511,0.717,26.7
28,6,557433.798700000159442,4889727.449300000444055,-0.2014544,1090,16.25,2009,0,0,15.1,511,0.717,26.7
29,8,557432.722900000400841,4889725.763299999758601,-0.2148097,1088,16.25,2009,0,0,15.1,511,0.717,26.7
30,10,557431.647099999710917,4889724.077299999073148,-0.2390183,1086,16.1499996,2009,0,0,15.1,511,0.717,26.7
31,12,557430.571200000122190,4889722.391300000250340,-0.2042035,1084,16.25,2009,0,0,15.1,511,0.717,26.7
32,14,557429.495400000363588,4889720.705299999564886,-0.2021077,1082,16.25,2009,0,0,15.1,511,0.717,26.7
33,20,557426.267900000326335,4889715.647299999371171,-0.2255491,1076,16.25,2009,0,0,15.1,511,0.717,26.7
34,22,557425.192099999636412,4889713.961300000548363,-0.2417013,1074,16.25,2009,0,0,15.1,511,0.717,26.7
35,26,557423.049599999561906,4889710.583499999716878,-0.2418113,1070,16.1499996,2009,0,0,15.1,511,0.717,26.7
36,28,557421.991600000299513,4889708.886299999430776,-0.2784456,1068,16.1499996,2009,0,0,15.1,511,0.717,26.7
37,30,557420.933600000105798,4889707.188999999314547,-0.2610085,1066,16.1499996,2009,0,0,15.1,511,0.717,26.7
38,36,557417.759600000455976,4889702.097300000488758,-0.2149932,1060,16.25,2009,0,0,15.1,511,0.717,26.7
39,46,557411.883500000461936,4889694.096200000494719,-0.2501014,1050,16.1499996,2009,0,0,15.1,511,0.717,26.7
40,58,557403.290199999697506,4889685.797800000756979,-0.2666508,1038,16.1499996,2009,0,0,15.1,511,0.717,26.7
41,60,557402.497000000439584,4889683.961799999698997,-0.2799492,1036,16.1499996,2009,0,0,15.1,511,0.717,26.7
42,82,557388.664200000464916,4889667.792300000786781,-0.2799492,1014,16.1499996,2009,0,0,15.1,511,0.717,26.7
43,84,557386.761099999770522,4889667.189500000327826,-0.2799492,1012,16.1499996,2009,0,0,15.1,511,0.717,26.7
44,88,557382.934999999590218,4889666.022900000214577,-0.2119227,1008,16.25,2009,0,0,15.1,511,0.717,26.7
45,92,557379.012000000104308,4889665.291799999773502,-0.2710708,1004,16.1499996,2009,0,0,15.1,511,0.717,26.7
46,94,557377.032100000418723,4889665.008899999782443,-0.1884094,1002,16.25,2009,0,0,15.1,511,0.717,26.7
47,96,557375.052199999801815,4889664.726099999621511,-0.2040353,1000,16.1499996,2009,0,0,15.1,511,0.717,26.7
48,98,557373.113499999977648,4889664.253599999472499,-0.2021077,998,16.25,2009,0,0,15.1,511,0.717,26.7
49,106,557365.437599999830127,4889661.999500000849366,-0.2390873,990,16.1499996,2009,0,0,15.1,511,0.717,26.7
