OID_,Log_ID_txt,ZONE_CODE,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM,MEDIAN,PCT90
1,10792428,1,18615.000000000000000,78.382164156220810,20.479999542236328,37.990001678466797,17.510002136230469,27.165180227508710,5.951216635996361,505679.829935074609239,25.340000152587891,35.630001068115234
2,2331257,2,18622.000000000000000,78.411639050074882,21.350000381469727,42.009998321533203,20.659997940063477,31.636379548397397,6.713589082227964,589132.659950256347656,29.379999160766602,41.020000457763672
3,10862876,3,18632.000000000000000,78.453746041294977,21.090000152587891,42.650001525878906,21.560001373291016,29.073316881614655,6.570917424649267,541694.040138244279660,26.590000152587891,39.090000152587891
4,10862886,4,18611.000000000000000,78.365321359732761,20.530000686645508,25.870000839233398,5.340000152587891,21.588609965072724,1.069557626632268,401785.620059968437999,21.180000305175781,23.409999847412109
5,10862878,5,18633.000000000000000,78.457956740416989,20.479999542236328,37.939998626708984,17.459999084472656,24.117675632924492,4.041281597341239,449384.650068282033317,22.149999618530273,30.887999343872060
6,10360382,6,18620.000000000000000,78.403217651830857,21.139999389648438,28.790000915527344,7.650001525878906,22.893171857225514,1.482607175851302,426270.859981539077125,22.459999084472656,25.310999488830589
7,10360378,7,18614.000000000000000,78.377953457098798,22.620000839233398,37.630001068115234,15.010000228881836,27.680038143923216,3.436927031789655,515236.230010986735579,27.079999923706055,32.627000427246102
8,10524511,8,18629.000000000000000,78.441113943928954,21.200000762939453,42.319999694824219,21.119998931884766,27.691932457785605,5.663453699330243,515873.009756088024005,27.069999694824219,37.650001525878906
9,10360379,9,18615.000000000000000,78.382164156220810,20.819999694824219,40.439998626708984,19.619998931884766,27.647538536209030,5.114064110997440,514658.929851531109307,26.319999694824219,35.729999542236328
10,10862908,10,18620.000000000000000,78.403217651830857,20.659999847412109,44.369998931884766,23.709999084472656,30.134798595293255,5.529169771838332,561109.949844360351562,29.389999389648438,38.590000152587891
11,10862923,11,18627.000000000000000,78.432692545684930,22.059999465942383,43.520000457763672,21.460000991821289,33.139342889505798,6.373901167116778,617286.540002824505791,34.270000457763672,40.790000915527344
12,2331280a,12,18617.000000000000000,78.390585554464820,22.670000076293945,42.830001831054688,20.160001754760742,33.555036794884913,4.995875782269105,624694.120010372367688,34.049999237060547,40.060001373291016
13,10862915,16,18612.000000000000000,78.369532058854773,20.379999160766602,31.379999160766602,11.000000000000000,22.624657750309069,2.019556914819307,421090.130048752413131,21.979999542236328,25.280000686645508
14,10862879,17,18617.000000000000000,78.390585554464820,20.270000457763672,36.360000610351562,16.090000152587891,22.938728586907910,2.670881595269694,427050.310102464572992,22.110000610351562,26.739999771118164
15,10862875a,18,18625.000000000000000,78.424271147440905,21.579999923706055,40.799999237060547,19.219999313354492,25.866084289346020,3.835086252726916,481755.819889069593046,24.629999160766602,31.739999771118164
16,10872720,19,18630.000000000000000,78.445324643050952,22.260000228881836,32.639999389648438,10.379999160766602,25.666210408397525,1.948111679597420,478161.499908445868641,25.340000152587891,28.250000000000000
17,10862894,20,18632.000000000000000,78.453746041294977,19.889999389648438,29.530000686645508,9.640001296997070,22.446255896110895,2.378513734000522,418218.639856338209938,21.540000915527344,26.369000816345228
