OID_,Log_ID_txt,ZONE_CODE,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM,MEDIAN,PCT90
1,10792428,1,18615.000000000000000,78.382164156220810,20.920000076293945,37.369998931884766,16.449998855590820,27.161919405227906,5.906247681359889,505619.129728317435365,24.540000915527344,35.459999084472656
2,2331257,2,18622.000000000000000,78.411639050074882,21.629999160766602,40.830001831054688,19.200002670288086,30.744305661049310,6.420117949644069,572520.460020060301758,28.299999237060547,39.979999542236328
3,10862876,3,18632.000000000000000,78.453746041294977,21.930000305175781,38.479999542236328,16.549999237060547,28.976237651870843,5.206311635408974,539885.259929657564498,26.959999084472656,36.680000305175781
4,10862886,4,18611.000000000000000,78.365321359732761,20.879999160766602,26.170000076293945,5.290000915527344,21.908968890272384,0.898612135002067,407747.820016859332100,21.590000152587891,23.430000305175781
5,10862878,5,18633.000000000000000,78.457956740416989,20.600000381469727,34.159999847412109,13.559999465942383,24.135793468287268,3.674296765923368,449722.239694596675690,22.709999084472656,30.147999572753900
6,10360382,6,18620.000000000000000,78.403217651830857,21.399999618530273,27.729999542236328,6.329999923706055,23.013748113117998,1.298814243592728,428515.989866257121321,22.739999771118164,25.090000152587891
7,10360378,7,18614.000000000000000,78.377953457098798,24.229999542236328,35.509998321533203,11.279998779296875,28.531313526780270,2.584625673574834,531081.869987487909384,28.290000915527344,32.369998931884766
8,10524511,8,18629.000000000000000,78.441113943928954,21.559999465942383,42.090000152587891,20.530000686645508,29.006841483851446,5.611993532350345,540368.450002668541856,28.590000152587891,38.481999969482430
9,10360379,9,18615.000000000000000,78.382164156220810,26.000000000000000,38.200000762939453,12.200000762939453,30.762505506361215,3.024204845035187,572644.040000914013945,29.799999237060547,35.990001678466797
10,10862908,10,18620.000000000000000,78.403217651830857,21.670000076293945,41.509998321533203,19.839998245239258,30.479104723453943,4.737660260728113,567520.929950712481514,30.170000076293945,37.670998382568385
11,10862923,11,18627.000000000000000,78.432692545684930,25.170000076293945,42.049999237060547,16.879999160766602,33.117317877779961,3.662328203619296,616876.280109407380223,32.830001831054688,37.689998626708984
12,2331280a,12,18617.000000000000000,78.390585554464820,22.329999923706055,41.520000457763672,19.190000534057617,33.408139323435265,4.766462040618212,621959.329784394358285,34.099998474121094,39.394000244140642
13,10862915,16,18612.000000000000000,78.369532058854773,20.510000228881836,29.510000228881836,9.000000000000000,22.726386200400498,1.817410878017605,422983.499961854075082,22.340000152587891,25.099000358581556
14,10862879,17,18617.000000000000000,78.390585554464820,20.309999465942383,32.930000305175781,12.620000839233398,23.380561844800599,2.489945890921077,435275.919864652736578,22.889999389648438,26.803999328613294
15,10862875a,18,18625.000000000000000,78.424271147440905,22.569999694824219,34.340000152587891,11.770000457763672,26.130786580642695,2.796868403590917,486685.900064470188227,25.340000152587891,30.329999923706055
16,10872720,19,18630.000000000000000,78.445324643050952,22.559999465942383,32.139999389648438,9.579999923706055,25.778683845470979,1.887262860153810,480256.880041124357376,25.280000686645508,28.540000915527344
17,10862894,20,18632.000000000000000,78.453746041294977,20.120000839233398,29.049999237060547,8.929998397827148,22.643149415839655,2.240518920859500,421887.159915924479719,22.030000686645508,26.250000000000000
