OID_,Log_ID_txt,ZONE_CODE,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM,MEDIAN,PCT90,PCT80,PCT70,PCT60,PCT50,PCT40,PCT30,PCT20,PCT10
1,10792428,1,2587.000000000000000,10.893078628640415,20.920000076293945,21.610000610351562,0.690000534057617,21.147997653018898,0.151543623294103,54709.869928359890764,21.120000839233398,21.360000610351562,21.260000228881836,21.200000762939453,21.149999618530273,21.120000839233398,21.090000152587891,21.049999237060547,21.000000000000000,20.979999542236328
2,2331257,2,1061.000000000000000,4.467551768452834,21.629999160766602,23.479999542236328,1.850000381469727,22.131357196588574,0.323414932346379,23481.369985580477078,22.069999694824219,22.579999923706055,22.399999618530273,22.270000457763672,22.159999847412109,22.069999694824219,21.989999771118164,21.920000076293945,21.840000152587891,21.760000228881836
3,10862876,3,2324.000000000000000,9.785664759551731,21.930000305175781,29.739999771118164,7.809999465942383,23.859539576118415,1.595243441823617,55449.569974899197405,23.530000686645508,25.959999084472656,24.969999313354492,24.719999313354492,24.049999237060547,23.530000686645508,23.079999923706055,22.739999771118164,22.385999298095705,22.049999237060547
4,10862886,4,14070.000000000000000,59.244536646683670,20.879999160766602,23.969999313354492,3.090000152587891,21.542938878371963,0.451604945090076,303109.150018693530001,21.479999542236328,22.159999847412109,21.840000152587891,21.709999084472656,21.579999923706055,21.479999542236328,21.395999526977540,21.280000686645508,21.120000839233398,21.020000457763672
5,10862878,5,10773.000000000000000,45.361861641416006,20.600000381469727,27.860000610351562,7.260000228881836,21.609753989270384,1.112682477404882,232801.879726409853902,21.190000534057617,23.200000762939453,22.389999389648438,21.860000610351562,21.502000045776366,21.190000534057617,20.969999313354492,20.819999694824219,20.719999313354492,20.659999847412109
6,10360382,6,325.000000000000000,1.368477214653319,21.959999084472656,22.850000381469727,0.890001296997070,22.437507729163542,0.171529596233622,7292.190011978151233,22.440000534057617,22.649999618530273,22.569999694824219,22.520000457763672,22.479999542236328,22.440000534057617,22.409999847412109,22.370000839233398,22.340000152587891,22.194000625610350
7,10360378,7,1047.000000000000000,4.408601980744691,24.510000228881836,28.200000762939453,3.690000534057617,25.719761242725358,0.921152571519430,26928.590021133448317,25.309999465942383,27.139999389648438,26.727999496459962,26.239999771118164,25.530000686645508,25.309999465942383,25.180000305175781,25.059999465942383,24.940000534057617,24.850000381469727
8,10524511,8,5471.000000000000000,23.036734896517864,21.559999465942383,29.129999160766602,7.569999694824219,22.965743014154896,1.195533067000898,125645.580030441429699,22.639999389648438,24.590000152587891,23.829999923706055,23.290000915527344,22.930000305175781,22.639999389648438,22.399999618530273,22.180000305175781,21.979999542236328,21.790000915527344
9,10360379,9,2440.000000000000000,10.274105857704916,26.190000534057617,29.409999847412109,3.219999313354492,27.732770485174399,0.514972236571815,67667.959983825538075,27.719999313354492,28.399999618530273,28.200000762939453,28.020000457763672,27.879999160766602,27.719999313354492,27.549999237060547,27.370000839233398,27.229999542236328,27.090000152587891
10,10862908,10,532.000000000000000,2.240091932909432,21.670000076293945,27.270000457763672,5.600000381469727,23.237894771690630,1.230172268211683,12362.560018539415978,23.025000572204590,25.202999305725104,23.647999572753903,23.447000694274905,23.235999679565431,23.025000572204590,22.803999328613280,22.569999694824219,22.272000503540042,21.959999084472656
11,10862923,11,1458.000000000000000,6.139199319890888,25.170000076293945,32.450000762939453,7.280000686645508,26.630823049035058,1.330563565818054,38827.740005493113131,26.229999542236328,28.783000755310056,27.370000839233398,26.769000434875490,26.489999771118164,26.229999542236328,25.989999771118164,25.799999237060547,25.610000610351562,25.399999618530273
12,2331280a,12,207.000000000000000,0.871614718256114,23.520000457763672,26.200000762939453,2.680000305175781,24.566763366478082,0.765624202018668,5085.320016860962824,24.500000000000000,25.620000839233398,25.385999679565430,25.122000503540036,24.825999832153322,24.500000000000000,24.182000350952148,23.920000076293945,23.719999313354492,23.620000839233398
13,10862915,16,3625.000000000000000,15.263784317287016,20.670000076293945,23.620000839233398,2.950000762939453,21.732369654162227,0.641874914882954,78779.839996338065248,21.659999847412109,22.659999847412109,22.342000198364261,22.079999923706055,21.860000610351562,21.659999847412109,21.469999313354492,21.301999282836917,21.090000152587891,20.950000762939453
14,10862879,17,7107.000000000000000,29.925438660126570,20.309999465942383,25.170000076293945,4.860000610351562,21.600267325203099,1.009042081716866,153513.099880218418548,21.649999618530273,23.020000457763672,22.590000152587891,22.219999313354492,21.840000152587891,21.649999618530273,21.010000228881836,20.690000534057617,20.520000457763672,20.450000762939453
15,10862875a,18,1743.000000000000000,7.339248569663797,22.700000762939453,26.559999465942383,3.859998703002930,24.016001148191080,0.978849196811151,41859.890001297055278,23.680000305175781,25.565999603271482,25.159999847412109,24.434000396728514,23.979999542236328,23.680000305175781,23.440000534057617,23.260000228881836,23.120000839233398,23.020000457763672
16,10872720,19,122.000000000000000,0.513705292885246,23.860000610351562,24.920000076293945,1.059999465942383,24.218852434001988,0.233824880959632,2954.699996948242642,24.180000305175781,24.548999404907224,24.434000396728518,24.329999923706055,24.252000045776366,24.180000305175781,24.110000610351562,24.062999534606934,24.002000045776366,23.941000556945799
17,10862894,20,8146.000000000000000,34.300355047895181,20.120000839233398,23.500000000000000,3.379999160766602,20.818798165867985,0.668168462882892,169589.929859160620254,20.530000686645508,21.879999160766602,21.329999923706055,21.000000000000000,20.719999313354492,20.530000686645508,20.450000762939453,20.360000610351562,20.290000915527344,20.219999313354492
