OID_,ORIG_FID,DIST_M,COUNT09,AREA09,MIN09,MAX09,RANGE09,MEAN09,STD09,SUM09,MEDIAN09,PCT90_09,COUNT19,AREA19,MIN19,MAX19,RANGE19,MEAN19,STD19,SUM19,MEDIAN19,PCT90_19,COUNT21,AREA21,MIN21,MAX21,RANGE21,MEAN21,STD21,SUM21,MEDIAN21,PCT90_21
1,1,2,8,2.88,-0.499946624,-0.354484856,0.145461768,-0.390850298,0.062986793,-3.126802385,-0.354484856,-0.354484856,813,3.041123241,1.022159457,2.069479227,1.04731977,1.454910103,0.229842886,1182.841914,1.429449081,1.793102145,592,3.052582207,1.280019283,2.880093336,1.600074053,2.130624535,0.411886475,1261.329725,2.167333603,2.631354523
2,2,4,8,2.88,-0.499946624,-0.20902583,0.290920794,-0.37266792,0.087200623,-2.981343359,-0.354484856,-0.310847148,835,3.123416859,0.163938016,1.342173219,1.178235203,0.738883629,0.287690532,616.9678304,0.702143013,1.138528347,606,3.124771652,1.876410127,3.738314867,1.86190474,2.85335392,0.400691065,1729.132475,2.938279152,3.316478729
3,3,6,8,2.88,-0.499946624,-0.20902583,0.290920794,-0.354485199,0.072730199,-2.835881591,-0.354484856,-0.310847148,837,3.130898097,0.003929785,1.211257815,1.20732803,0.198173658,0.22071135,165.8713518,0.120298654,0.527591109,608,3.135084429,2.109150648,3.214653492,1.105502844,2.797578049,0.266746973,1700.927454,2.880093336,3.098284721
4,4,8,9,3.24,-0.499946624,-0.20902583,0.290920794,-0.370647579,0.082411891,-3.335828215,-0.354484856,-0.325393051,837,3.130898097,0.033022694,0.527591109,0.494568415,0.238840191,0.118500536,199.9092398,0.222121075,0.411222219,607,3.12992804,1.600035787,2.472803831,0.872768044,2.160144542,0.213517225,1311.207737,2.225519419,2.385524988
5,5,10,9,3.24,-0.499946624,-0.20902583,0.290920794,-0.370647579,0.082411891,-3.335828215,-0.354484856,-0.325393051,836,3.127157478,0.193028152,1.109435439,0.916407287,0.621252727,0.211017686,519.3672794,0.585774124,0.934880733,606,3.124771652,0.567259669,2.036418438,1.469158769,1.403542396,0.330233829,850.5466921,1.410934687,1.847319961
6,6,12,8,2.88,-0.499946624,-0.20902583,0.290920794,-0.354485199,0.072730199,-2.835881591,-0.354484856,-0.310847148,835,3.123416859,0.425768673,1.254897237,0.829128563,0.988815602,0.202052134,825.6610276,1.051249623,1.196711421,608,3.135084429,0.581806123,1.207289815,0.625483692,0.923305411,0.136584341,561.36969,0.901819825,1.120013833
7,7,14,6,2.16,-0.499946624,-0.354484856,0.145461768,-0.378728484,0.0542104,-2.272370905,-0.354484856,-0.354484856,555,2.076043541,0.993066549,1.211257815,0.218191266,1.089542357,0.041653828,604.696008,1.080342531,1.153074861,401,2.067711934,0.043601122,0.930912733,0.887311611,0.561746591,0.202539396,225.2603829,0.581806123,0.814543843
8,9,18,1,0.36,-0.354484856,-0.354484856,0,-0.354484856,0,-0.354484856,-0.354484856,-0.354484856,121,0.452614898,0.993066549,1.153074861,0.160008311,1.087195251,0.030332608,131.5506253,1.094888926,1.123981953,86,0.443449442,-0.858259678,-0.66916132,0.189098358,-0.765570209,0.049851537,-65.83903795,-0.763710529,-0.698251486
9,10,20,9,3.24,-0.499946624,-0.20902583,0.290920794,-0.370647579,0.082411891,-3.335828215,-0.354484856,-0.325393051,837,3.130898097,1.007613063,1.240350723,0.23273766,1.158339226,0.054066073,969.5299321,1.167618513,1.225804329,610,3.145397207,-0.930989206,-0.71279794,0.218191266,-0.815193279,0.034296318,-497.2679002,-0.814620316,-0.770983756
10,11,22,8,2.88,-0.499946624,-0.20902583,0.290920794,-0.390850984,0.120609493,-3.126807868,-0.42721574,-0.20902583,837,3.130898097,0.803965449,1.342173219,0.538207769,1.048609074,0.132978033,877.6857953,1.051249623,1.225804329,604,3.114458874,-1.643751621,-0.727344394,0.916407228,-1.14528071,0.208801773,-691.749549,-1.120090365,-0.901899099
11,12,24,8,2.88,-0.645408392,-0.354484856,0.290923536,-0.481763903,0.087201266,-3.854111224,-0.499946624,-0.354484856,837,3.130898097,0.323943496,0.847604811,0.523661315,0.521021089,0.116589583,436.0946519,0.498498172,0.702143013,610,3.145397207,-0.989175022,-0.741890848,0.247284174,-0.892073493,0.055423485,-544.164831,-0.901899099,-0.800073862
12,13,26,8,2.88,-0.645408392,-0.354484856,0.290923536,-0.463581182,0.096213916,-3.708649457,-0.499946624,-0.354484856,837,3.130898097,0.207574621,0.600320578,0.392745957,0.407537004,0.112996552,341.1084725,0.411222219,0.57122767,605,3.119615263,-0.960082114,-0.698251486,0.261830628,-0.838327935,0.059318812,-507.1884009,-0.843713224,-0.756437302
13,14,28,8,2.88,-0.499946624,-0.354484856,0.145461768,-0.481763903,0.048106958,-3.854111224,-0.499946624,-0.456308094,840,3.142119954,-0.025163127,0.643959939,0.669123067,0.316532966,0.151458968,265.8876915,0.323943496,0.513044655,604,3.114458874,-0.916445553,-0.407330692,0.509114861,-0.631927814,0.116682964,-381.6843995,-0.632795185,-0.465513736
14,15,30,9,3.24,-0.645408392,-0.354484856,0.290923536,-0.451459368,0.096974512,-4.063134313,-0.499946624,-0.354484856,834,3.11967624,-0.374269724,0.134845108,0.509114832,-0.097125577,0.124986084,-81.00273118,-0.097892627,0.076659285,608,3.135084429,-1.090997458,-0.66916132,0.421836138,-0.886466777,0.079935676,-538.9718006,-0.872806132,-0.800073862
15,16,32,9,3.24,-0.645408392,-0.354484856,0.290923536,-0.54843388,0.118769036,-4.93590492,-0.645408392,-0.354484856,832,3.112195002,-0.621553957,-0.039709583,0.581844375,-0.308007455,0.137549463,-256.2622029,-0.308810681,-0.112439089,604,3.114458874,-1.192819834,-0.800073862,0.392745972,-0.923404339,0.070720075,-557.7362208,-0.901899099,-0.843713224
16,17,34,11,3.96,-0.645408392,-0.20902583,0.436382562,-0.433827888,0.113754911,-4.772106767,-0.499946624,-0.354484856,836,3.127157478,-0.883384585,-0.054253262,0.829131324,-0.458309662,0.169141357,-383.1468772,-0.446999252,-0.24335441,606,3.124771652,-0.960082114,-0.727344394,0.23273772,-0.854179147,0.041600031,-517.6325629,-0.858259678,-0.800073862
17,18,36,8,2.88,-0.499946624,-0.354484856,0.145461768,-0.42721574,0.072730884,-3.417725921,-0.42721574,-0.354484856,841,3.145860573,-0.767015696,-0.417906314,0.349109381,-0.609429091,0.058548025,-512.5298658,-0.621553957,-0.519731522,605,3.119615263,-1.032814384,-0.450967282,0.581847101,-0.843425198,0.137475908,-510.272245,-0.872806132,-0.625521958
18,19,38,9,3.24,-0.645408392,-0.499946624,0.145461768,-0.532271461,0.060474233,-4.790443152,-0.499946624,-0.499946624,831,3.108454383,-0.752469242,-0.563368082,0.18910116,-0.667712072,0.032424074,-554.8687322,-0.679736972,-0.621553957,604,3.114458874,-0.960082114,-0.727344394,0.23273772,-0.852961255,0.040290665,-515.188598,-0.843713224,-0.814620316
19,20,40,9,3.24,-0.645408392,-0.354484856,0.290923536,-0.499946624,0.096974512,-4.499519616,-0.499946624,-0.354484856,833,3.115935621,-0.694283426,-0.199715048,0.494568378,-0.599062062,0.074147739,-499.018698,-0.621553957,-0.519731522,609,3.140240818,-0.974628568,-0.625521958,0.34910661,-0.779939928,0.079270445,-474.9834162,-0.756437302,-0.683705032
20,21,42,9,3.24,-0.645408392,-0.354484856,0.290923536,-0.499946624,0.068571335,-4.499519616,-0.499946624,-0.47085427,841,3.145860573,-0.737922788,-0.446999252,0.290923536,-0.574646035,0.06326888,-483.2773153,-0.563368082,-0.505185068,604,3.114458874,-0.814620316,-0.305508256,0.50911206,-0.550575463,0.127828194,-332.5475794,-0.567336142,-0.378237754
21,22,44,8,2.88,-0.645408392,-0.354484856,0.290923536,-0.536312066,0.096213916,-4.290496528,-0.499946624,-0.456308094,836,3.127157478,-0.548821628,-0.083346173,0.465475455,-0.369675807,0.105620523,-309.0489749,-0.388816178,-0.199715048,608,3.135084429,-0.640068412,-0.305508256,0.334560156,-0.443623372,0.090121335,-269.7230099,-0.421877146,-0.334598392
22,23,46,7,2.52,-0.499946624,-0.354484856,0.145461768,-0.479166371,0.050901015,-3.3541646,-0.499946624,-0.441761917,726,2.715689388,-0.388816178,0.236667529,0.625483707,-0.100617856,0.152033393,-73.04856379,-0.112439089,0.120298654,528,2.72257332,-1.192819834,-0.538245976,0.654573858,-0.820213869,0.150661835,-433.0729228,-0.814620316,-0.625521958
